topic_id,0,1,2,3,4,5,6,7,8,9
0,"('cultural', 0.09917986879797794)","('health', 0.07120083472753692)","('community', 0.05430872840029026)","('culture', 0.047041187803916584)","('produce', 0.04398068355395114)","('societal', 0.03586407371243357)","('benefit', 0.03586407371243357)","('diverse', 0.03414818360196551)","('language', 0.03414818360196551)","('engagement', 0.03414818360196551)"
1,"('difference', 1.3298965204268665)","('vulnerabl', 0.6196036354613028)","('word', 0.6196036354613028)","('unfortunately', 0.5566898818213658)","('access', 0.5199289347987309)","('related', 0.49387542765051196)","('opportunity', 0.49387542765051196)","('decision', 0.4432988401422889)","('particular', 0.4312585982432592)","('', 1e-05)"
