topic_id,0,1,2,3,4,5,6,7,8,9
0,"('science', 0.08463673769936476)","('ethical', 0.0781151055099235)","('attention', 0.0781151055099235)","('method', 0.06805121063471362)","('qualitative', 0.057343965965065136)","('recognise', 0.057343965965065136)","('humanity', 0.04582411345464443)","('team', 0.04582411345464443)","('trend', 0.04300797447379885)","('longer', 0.04083072638082817)"
1,"('collaboration', 0.06738404190300075)","('institution', 0.0567817702203096)","('uoas', 0.0567817702203096)","('industry', 0.045374857440383214)","('incentive', 0.045374857440383214)","('get', 0.040430425141800445)","('interdisciplinary', 0.03287867922478716)","('strong', 0.03287867922478716)","('heis', 0.03287867922478716)","('academia', 0.03287867922478716)"
