id,ics_table_id,country,countries_specific_extracted,countries_union_extracted,countries_region_extracted,countries_global_extracted
200,36,SVK,False,True,False,False
201,36,SVN,False,True,False,False
202,36,SWE,False,True,False,False
203,37,,False,False,False,False
204,38,GBR,True,False,False,False
205,38,USA,True,False,False,False
206,39,GBR,True,False,False,False
207,40,DEU,True,False,False,False
208,40,GBR,True,False,False,False
209,40,USA,True,False,False,False
210,41,GBR,True,False,False,False
211,41,USA,True,False,False,False
212,42,AUT,False,True,False,False
213,42,BEL,False,True,False,False
214,42,BGR,False,True,False,False
215,42,CYP,False,True,False,False
216,42,CZE,False,True,False,False
217,42,DEU,False,True,False,False
218,42,DNK,False,True,False,False
219,42,ESP,False,True,False,False
220,42,EST,False,True,False,False
221,42,FIN,False,True,False,False
222,42,FRA,False,True,False,False
223,42,GBR,True,False,False,False
224,42,GRC,False,True,False,False
225,42,HRV,False,True,False,False
226,42,HUN,False,True,False,False
227,42,IRL,False,True,False,False
228,42,ITA,False,True,False,False
229,42,LTU,False,True,False,False
230,42,LUX,False,True,False,False
231,42,LVA,False,True,False,False
232,42,MLT,False,True,False,False
233,42,NLD,False,True,False,False
234,42,POL,False,True,False,False
235,42,PRT,False,True,False,False
236,42,ROU,False,True,False,False
237,42,SVK,False,True,False,False
238,42,SVN,False,True,False,False
239,42,SWE,False,True,False,False
240,43,AUS,True,False,False,False
241,43,CAN,True,False,False,False
242,43,GBR,True,False,False,False
243,43,SWE,True,False,False,False
244,43,USA,True,False,False,False
245,44,AUS,True,False,False,False
246,44,FIN,True,False,False,False
247,44,GBR,True,False,False,False
248,45,GBR,True,False,False,False
249,45,PAK,True,False,False,False
250,46,GBR,True,False,False,False
251,47,GBR,True,False,False,False
252,48,,False,False,False,False
253,49,GBR,True,False,False,False
254,50,,False,False,False,False
255,51,GBR,True,False,False,False
256,51,IRL,True,False,False,False
257,52,GBR,True,False,False,False
258,53,GBR,True,False,False,False
259,54,CHN,True,False,False,False
260,54,GBR,True,False,False,False
261,54,IND,True,False,False,False
262,54,IRN,True,False,False,False
263,54,RUS,True,False,False,False
264,54,USA,True,False,False,False
265,55,,False,False,False,False
266,56,AUT,True,False,False,False
267,56,GBR,True,False,False,False
268,56,HUN,True,False,False,False
269,56,ITA,True,False,False,False
270,57,GBR,True,False,False,False
271,58,,False,False,False,False
272,59,GBR,True,False,False,False
273,59,USA,True,False,False,False
274,60,GBR,True,False,False,False
275,60,IND,True,False,False,False
276,60,RUS,True,False,False,False
277,60,UKR,True,False,False,False
278,61,CAN,True,False,False,False
279,61,FRA,True,False,False,False
280,61,GBR,True,False,False,False
281,61,ITA,True,False,False,False
282,61,USA,True,False,False,False
283,62,GBR,True,False,False,False
284,63,BEL,True,False,False,False
285,63,GBR,True,False,False,False
286,64,BEL,True,False,False,False
287,64,GBR,True,False,False,False
288,65,GBR,True,False,False,False
289,66,,False,False,False,False
290,67,,False,False,False,False
291,68,,False,False,False,False
292,68,ARG,True,False,False,True
293,68,BEL,True,False,False,True
294,68,BRA,True,False,False,True
295,68,CAN,True,False,False,True
296,68,FRA,True,False,False,True
297,68,GBR,True,False,False,True
298,68,IND,True,False,False,True
299,68,IRL,True,False,False,True
300,68,JAM,True,False,False,True
301,68,KEN,True,False,False,True
302,68,LVA,True,False,False,True
303,68,SGP,True,False,False,True
304,68,SVN,True,False,False,True
305,68,SWE,True,False,False,True
306,68,USA,True,False,False,True
307,68,ZAF,True,False,False,True
308,69,,False,False,False,False
309,70,ALB,False,False,True,False
310,70,AND,False,False,True,False
311,70,AUT,False,False,True,False
312,70,BEL,False,False,True,False
313,70,BGR,False,False,True,False
314,70,BIH,False,False,True,False
315,70,BLR,False,False,True,False
316,70,CHE,False,False,True,False
317,70,CZE,False,False,True,False
318,70,DEU,False,False,True,False
319,70,DNK,False,False,True,False
320,70,ESP,False,False,True,False
321,70,EST,False,False,True,False
322,70,FIN,False,False,True,False
323,70,FRA,False,False,True,False
324,70,GBR,True,False,True,False
325,70,GRC,False,False,True,False
326,70,HRV,False,False,True,False
327,70,HUN,False,False,True,False
328,70,IRL,False,False,True,False
329,70,ISL,False,False,True,False
330,70,ITA,False,False,True,False
331,70,LIE,False,False,True,False
332,70,LTU,False,False,True,False
333,70,LUX,False,False,True,False
334,70,LVA,False,False,True,False
335,70,MCO,False,False,True,False
336,70,MDA,False,False,True,False
337,70,MKD,False,False,True,False
338,70,MLT,False,False,True,False
339,70,MNE,False,False,True,False
340,70,NLD,False,False,True,False
341,70,NOR,False,False,True,False
342,70,POL,False,False,True,False
343,70,PRT,False,False,True,False
344,70,ROU,False,False,True,False
345,70,SMR,False,False,True,False
346,70,SRB,False,False,True,False
347,70,SVK,False,False,True,False
348,70,SVN,False,False,True,False
349,70,SWE,False,False,True,False
350,70,UKR,False,False,True,False
351,70,USA,True,False,False,False
352,70,VAT,False,False,True,False
353,71,GBR,True,False,False,False
354,71,NOR,True,False,False,False
355,72,,False,False,False,False
356,73,,False,False,False,False
357,74,,False,False,False,False
358,75,AGO,False,False,True,True
359,75,ALB,False,False,True,True
360,75,AND,False,False,True,True
361,75,ATF,False,False,True,True
362,75,AUT,False,False,True,True
363,75,BDI,False,False,True,True
364,75,BEL,False,False,True,True
365,75,BEN,False,False,True,True
366,75,BFA,False,False,True,True
367,75,BGR,False,False,True,True
368,75,BIH,False,False,True,True
369,75,BLR,False,False,True,True
370,75,BWA,False,False,True,True
371,75,CAF,False,False,True,True
372,75,CAN,True,False,False,True
373,75,CHE,False,False,True,True
374,75,CHN,True,False,False,True
375,75,CIV,False,False,True,True
376,75,CMR,False,False,True,True
377,75,COD,False,False,True,True
378,75,COG,False,False,True,True
379,75,COM,False,False,True,True
380,75,CPV,False,False,True,True
381,75,CZE,False,False,True,True
382,75,DEU,False,False,True,True
383,75,DJI,False,False,True,True
384,75,DNK,False,False,True,True
385,75,DZA,False,False,True,True
386,75,EGY,False,False,True,True
387,75,ERI,False,False,True,True
388,75,ESH,False,False,True,True
389,75,ESP,False,False,True,True
390,75,EST,False,False,True,True
391,75,ETH,False,False,True,True
392,75,FIN,False,False,True,True
393,75,FRA,False,False,True,True
394,75,GAB,False,False,True,True
395,75,GBR,True,False,True,True
396,75,GHA,False,False,True,True
397,75,GIN,False,False,True,True
398,75,GMB,False,False,True,True
399,75,GNB,False,False,True,True
400,75,GNQ,False,False,True,True
401,75,GRC,False,False,True,True
402,75,HRV,False,False,True,True
403,75,HUN,False,False,True,True
404,75,IOT,False,False,True,True
405,75,IRL,False,False,True,True
406,75,ISL,False,False,True,True
407,75,ITA,True,False,True,True
408,75,JPN,True,False,False,True
409,75,KEN,False,False,True,True
410,75,LBR,False,False,True,True
411,75,LBY,False,False,True,True
412,75,LIE,False,False,True,True
413,75,LSO,False,False,True,True
414,75,LTU,False,False,True,True
415,75,LUX,False,False,True,True
416,75,LVA,False,False,True,True
417,75,MAR,False,False,True,True
418,75,MCO,False,False,True,True
419,75,MDA,False,False,True,True
420,75,MDG,False,False,True,True
421,75,MKD,False,False,True,True
422,75,MLI,False,False,True,True
423,75,MLT,False,False,True,True
424,75,MNE,False,False,True,True
425,75,MOZ,False,False,True,True
426,75,MRT,False,False,True,True
427,75,MUS,False,False,True,True
428,75,MWI,False,False,True,True
