"funder"
"Electoral Integrity Project"
"Metal Peterborough"
"Boost Foundation"
"Scottish Government Legacy 2014"
"United Nations Universities"
"Northern Ireland Human Rights Commission"
"Ministry of Education [MYS]"
"Foreign Ministry [DEU]"
"Public Health Institute [USA]"
"SIS Foundation"
"Federal Department for Foreign Affairs"
"Efamol"
"Sandvik Tooling"
"Snape Maltings & Viola Tunnard Trust"
"International Copper Association"
"American Society for Theatre Research"
"The Executive Office [GBR]"
"European Association of Zoos and Aquaria"
"Gordon and Betty Moore Foundation"
"Office of Fair Trading"
"UK Space Agency"
"European Food Safety Authority"
"Centre for Environment, Fisheries and Aquaculture Science"
"Babes in Arms"
"United Kingdom Overseas Territories Association"
"Alstom"
"Willis Research Network"
"Earthwatch Institute"
"American Chemistry Society"
"The Ourtree Charitable Trust"
"Brava and Telles Foundation"
"Comic Relief"
"Phillips Research Laboratories"
"California Institute of Technology"
"Institute of Social Psychiatry"
"Royal Society [GBR] Wolfson Fellowship"
"Tobacco Advisory Group"
"Nottingham Rehab Supplies"
"Higher Education Academy"
"Lloyd Cotsen"
"MPD Voice"
"Adam Smith International"
"Abbeyfield Research Foundation"
"Cambridge Infectious Diseases Consortium"
"Lloyds TSB"
"Swiss Government"
"Department of Energy [USA]"
"International Association for Bear Research and Management"
"Community Foundation Northern Ireland"
"Quark Expeditions"
"South East England Development Agency"
"High Performance Swimming"
"The Fred Hollows Foundation"
"Durrell Wildlife Conservation Trust"
"Relate studentship"
"Statoil"
"Scottish Cot Death Trust"
"United Kingdom Literacy Association"
"Radioactive Waste Management"
"Alzheimer’s Research"
"Scottish Power Energy Network"
"Unison"
"Lullaby Trust"
"Great Western Research"
"Broderick Bozimo and Company Law Firm"
"The Deputy Prime Minister’s Office"
"Norwegian Environment Agency"
"Thames Tideway Tunnel"
"Global Alliance for Livestock Veterinary Medicines"
"Dialog Semiconducter"
"ART360"
"BirdLife International"
"Northern Ireland Judicial Appointments Commission"
"Alnylam"
"Culham Centre for Fusion Energy"
"Department of Science and Technology"
"Huawei Technologies"
"Sanofi-Aventis"
"Facebook United"
