case_id,BERT_topic_1. Summary of the impact,BERT_proba_1. Summary of the impact,BERT_topic_2. Underpinning research,BERT_proba_2. Underpinning research,BERT_topic_4. Details of the impact,BERT_proba_4. Details of the impact,BERT_topic_full,BERT_proba_full
73be8e7c-907e-4e5b-8a8b-953b4d394c1b,41,1.0,2,0.057976928589441895,45,1.0,0,1.0
ee22b99e-4fdb-470e-ab7f-7be0d4043431,-1,0.019868537357650668,-1,0.13418855214364148,-1,0.02684638838661331,-1,0.019446878931168768
acc14d05-f0e5-49e9-b962-75cb0c786250,6,1.0,19,0.24432044687164478,4,0.19917773341475511,-1,0.01504518228036698
6cfef3d3-5578-48a3-bbae-5b4706fa7df4,2,0.0814231188152237,1,0.1347511415572199,41,0.3821885592691773,2,0.0778959269451051
6c88b4ac-0cd4-4234-96e0-befc2565917b,45,0.3196742720322212,43,1.0,31,0.2804340248381023,0,1.0
cfee92aa-3213-4aca-b740-311988235284,-1,0.00800015292126441,-1,0.12890582757161936,14,0.5113149272079212,-1,0.021022731700925876
93c37d0f-1849-4b00-a07c-373b3b56360a,5,0.04482058338618668,8,0.35462032041352554,28,1.0,13,1.0
b7b0eb55-4c09-4894-8825-f0247bd32f80,-1,0.002462853291912623,-1,0.013630417818401906,13,0.669138017088037,-1,0.0032429210412100763
5d564082-2d5d-41b5-a169-7f11c137fbaa,36,0.601880552889271,34,0.04956944618408288,43,1.0,-1,0.03944438036771952
c223df8c-01cb-401f-9a9d-3386ebae96a5,41,0.1327055515798276,-1,0.02371029828877786,-1,0.1051434911955963,-1,0.06933236353279894
0eb17497-a615-4f0b-97ad-d7be4543b4d6,0,0.07596369784078537,15,1.0,50,1.0,-1,0.024214154106369925
8f802bfb-795a-4c66-9357-7532277fd40d,-1,0.07509348399149837,-1,0.015285186413685158,37,1.0,0,0.19336846396159788
baf6d3df-a6c7-4c8c-b958-82768271d1d0,-1,0.08978024095548454,2,0.04627294943104258,-1,0.02358970830049305,0,0.15529879398604046
7b5ab914-b25b-456f-be0e-29c7af68b2a8,13,0.5845351003459597,14,1.0,2,0.6904897442470617,21,0.1634709443430675
524fb451-a8da-4bfe-95d7-176713daf242,-1,0.028297988461999796,2,0.3493618861019524,45,1.0,0,0.42393029590992193
84dd9f99-be6b-4b8c-aeac-0ec32e7f2c93,28,1.0,-1,0.012132537161452926,-1,0.02896998503871952,20,1.0
550cc3bd-3e2e-4f52-8dd2-b82c3fc6ddd2,13,0.19713394073205048,29,0.5488866521701571,2,0.8409260631734494,7,0.5980976662644937
9457bbdf-5f50-4ab6-940c-ad995983f142,3,1.0,-1,0.11114510164661569,-1,0.04721077401908268,-1,0.2276193541736066
