case_id,BERT_topic_1. Summary of the impact,BERT_proba_1. Summary of the impact,BERT_topic_2. Underpinning research,BERT_proba_2. Underpinning research,BERT_topic_4. Details of the impact,BERT_proba_4. Details of the impact,BERT_topic_full,BERT_proba_full
1e6e075e-d5f5-421c-bb45-2708636b5190,8,0.1622827321367401,14,0.32461553178811964,16,0.10023016957404486,8,1.0
d59a4fa1-5e19-4394-bf46-451d905f0fa6,2,1.0,21,1.0,31,1.0,20,1.0
cdedee72-274f-4f42-8596-ba4c5454cd06,4,0.34540324629005403,2,0.37642439692841045,3,0.8092025273151399,2,0.5950945341371723
ecf2a5ba-383e-48a1-91dc-c11219f5be9a,3,1.0,0,0.7946505858249846,2,0.8285141523943135,1,1.0
e2b00394-d011-40f7-b4b2-3356794d9cc5,0,0.6663318986860421,3,0.13701432732624735,-1,0.10858492843651953,0,1.0
960e8f89-2153-4f5f-b2cb-b82bb13733c6,0,0.749769620580976,33,1.0,-1,0.05184689499639312,26,1.0
c4f2289e-9fd4-471b-bcdf-8b2ce16a99d0,9,0.061101520378926605,25,1.0,1,0.07017710416635885,66,1.0
3fc46187-d61b-4415-aed8-57e1d0a8eba0,0,0.7434776356405651,3,0.11724093060546048,-1,0.07212163569992859,0,0.5166081086335035
66e938df-d188-4182-9990-2dec54af6a00,-1,0.004751443995395064,-1,0.008769908709895333,-1,0.04216459252968533,-1,0.0417673886304663
2aefe25b-98c5-4366-bee5-64d9f559eac5,21,1.0,5,1.0,17,0.8928968917903282,22,1.0
c90a1c87-9575-45fd-a37a-e736c3b739d7,45,0.4119579912376677,60,1.0,60,1.0,56,1.0
c28c36bd-ad72-4aa3-865f-17432ddae321,37,0.7697809326443926,5,0.9501714122318905,17,0.4800016110190928,22,0.71802472284299
3f91fcbb-1fb1-454d-9ee3-b87de7881607,-1,0.07060200120558116,-1,0.14241128710342132,8,0.20616756677611153,4,0.07961116748966499
adc80482-fc3c-4952-a37c-f5e9f43d7728,5,0.2122978897243744,4,0.4942364308091724,5,0.6640574881629108,3,0.4004812134687714
f4dc7ac5-25f3-4c05-9dcc-5ef75994ced2,0,0.9172734898584746,6,0.7112170345604545,9,0.09445304078657604,5,0.8391053558605158
f84c8965-1e54-40fd-9b3c-7e68a9aebaec,6,0.04682765526226055,-1,0.1898573645492751,-1,0.12217830239965485,-1,0.062025289517096925
84a4ad06-92ef-4178-8b53-fd9d3ada750a,1,0.5101878575101918,9,0.21190080451070636,0,0.5141426285910061,16,0.3615596550363879
3c54584b-5c70-4b2d-a90a-4cd28bac0e4d,-1,0.021191707000970957,38,0.03553361357788658,1,0.1108715908081108,-1,0.05949263635812481
d292cf2d-0773-4452-8515-5b0e0752bdb4,0,0.711641289137633,36,0.2717770124925095,25,0.31061756626130815,-1,0.02939567923157226
13822b1e-9ea7-426c-8d72-a8f061d7924a,-1,0.07944491828938871,-1,0.09728848033611599,1,1.0,-1,0.04382993244742469
9d4284f3-e9e8-4d8b-9f62-df68c52fdb35,8,0.04580494132537996,14,0.5026025790776267,0,0.3109769578708281,8,0.3191268953934984
a55bb562-0696-4665-8480-0ebd649f926d,-1,0.03579479894279601,-1,0.20928277359176112,43,1.0,62,1.0
54b2816b-2569-40de-890b-d097f6f038c6,33,0.25632609360296993,-1,0.015334608588423265,42,0.41744744316232457,45,0.02255856925025473
c2ac4193-ff3d-4bde-9641-12309a896394,25,1.0,18,0.5299311175760114,11,0.1349550076664499,9,0.1540292020400841
de7b5750-1615-4cd7-bd7a-6fbc7b22d3c2,-1,0.13766987080536722,-1,0.014401757654163393,1,0.1764399522432248,-1,0.05023374209865814
640a0ff5-afa1-4a31-9441-b4a37e32cfac,13,0.18395334895218363,-1,0.022704613436592296,19,0.09923677419288925,-1,0.012401930276788525
db8090f9-2c4a-45bd-a67c-977353397ed3,0,0.8852616511854262,62,1.0,-1,0.016361247760059157,-1,0.022183239838891783
feb74fb5-855a-4273-b8ad-5dc79be8b098,0,0.7700140352406386,-1,0.07644121249399245,-1,0.05761869467526641,-1,0.018755608484773034
8f7825bc-50e4-4313-8ad1-1837d483f903,0,0.9689601795728505,11,1.0,14,0.5228556290776937,10,0.45608876624521283
34e7e0ef-e939-490f-af01-c05891314892,-1,0.06300560366348992,10,0.3920091207012602,8,0.5611145049685918,32,0.06211237698214341
dfe521c4-5b2b-4e6c-bd3c-7b1d69d60310,0,0.6648873118823525,3,0.15993600062789337,-1,0.045936097354361514,-1,0.14294049726569755
8ec473a5-bbeb-47e1-b782-10ad4a5acbd5,24,0.15283309537796466,-1,0.0599328751346375,24,0.46741035188614416,-1,0.07512001165227035
ee235d5c-5bf4-40a5-94da-9591ce9e1d6a,7,0.24459378598008566,7,0.44858772428396043,7,0.3251203797018407,6,0.420160757446922
d25d0e7c-de58-480b-88dc-80c67992943f,8,0.25404502622651487,14,1.0,16,0.09108121676799043,8,0.0516880366956217
b21e6a78-02d9-4230-93f9-a036b4290e22,23,1.0,35,0.5831296152689732,20,0.6896551428353143,21,1.0
c39a7c40-ba6b-41bb-85fb-791112ae7f29,6,0.03722239893127661,52,1.0,-1,0.048896717023634226,76,1.0
0a7fdd93-7aa7-422c-a2f8-47091a08127b,-1,0.044679520349675685,56,1.0,8,0.25822236449242847,32,1.0
3d0a8fd5-8702-45b8-b002-1f4fd4042f38,38,1.0,-1,0.06155030761411696,-1,0.04224596077024023,14,0.060212247106515876
9ff8da52-9796-4600-8bfc-b1f2f22b00b6,0,0.8780980702531513,8,0.10869918320709859,47,0.20751814741750793,38,1.0
38cdf896-7e30-480c-a8ea-8ade1f3113e4,0,0.8118558707274014,11,0.047655463525310846,14,0.0481088130298239,10,0.0618720532827162
716cf3c5-cd91-4707-add0-8ffcb2bf77e2,19,0.09158644685728506,-1,0.05207658774690797,-1,0.014174095613943078,39,0.19849293058080936
95c1638e-3cc5-4efb-9e3c-f1c64862c2e7,8,0.02477016311335537,-1,0.053927830247264885,0,0.11714423681902211,-1,0.016973487035623902
66cf0dd6-b7b5-4c8c-b6d7-46c0d440327b,-1,0.035636179228766364,-1,0.1960580558385659,-1,0.07318069796179923,62,1.0
4c4ca9f6-4aaa-4a9f-b317-3c6ec89e39e4,0,0.8952703584381304,-1,0.1881487060585223,15,0.7642962118609328,44,1.0
9ae98944-f9b3-48a9-81bd-778d8716860a,-1,0.07272200630749893,-1,0.1163234239830648,19,1.0,57,0.1663505048694033
8683d219-0009-4ef5-94c6-394800b81094,0,0.7632370428679857,-1,0.023463759662161496,9,0.16103895531023574,-1,0.01491634950585848
73dbc3bb-1e89-40d3-bb77-8a51e505297e,-1,0.06982640902148807,10,0.1049363999857845,8,0.2674599464689826,-1,0.04853558569380245
b0cc817d-6c01-47db-ac53-ab369de00cb9,-1,0.07221754013593198,10,0.10578411764409898,8,0.22972760198557576,-1,0.07957952757987005
ca73bba6-6f7a-420e-a802-d4ae6e5ae610,0,1.0,11,1.0,14,0.06930936520117377,10,0.3858333046503452
eb97036f-d2c9-426f-b47e-a5d7a5540c02,13,1.0,55,1.0,-1,0.00617876635209134,-1,0.024194532571667326
dc566dca-0212-4073-8eca-53a4aaf7385c,0,0.9255621448471494,32,1.0,25,0.22041014067518266,38,0.8947861714537467
11ed772d-1c8e-444f-8d78-ef3c8a3f8374,6,0.04474431337301581,52,1.0,-1,0.07279925496345709,-1,0.0704836832898995
76865506-3810-4118-bdff-d032adedee42,0,0.7750850159111109,36,0.08868630972690725,6,0.20136220706980745,-1,0.05853396569036477
e684b230-f53d-4bfd-be15-319ba3dfd9b3,-1,0.004611231879256391,-1,0.11331766449024953,-1,0.041377380763515284,7,0.13892938323937956
dcd83434-243a-4fba-946d-ea6ae7c78a08,23,1.0,34,1.0,20,0.0418604303277811,68,1.0
acee75c2-a004-41d8-b1ab-6539d2fdba59,0,0.5969087709408646,-1,0.15524577481973661,-1,0.1973425217079395,-1,0.0837039385999629
0b44de58-6b72-46db-b8f7-a7deedb64dde,16,0.4049055315185399,28,1.0,45,0.0927091163073197,27,0.5229637892816261
cc8c5369-343d-4238-ad8c-c94d5d6c4bd2,-1,0.038734035528110784,-1,0.01115204652355682,58,1.0,30,0.1868807077843073
e719ce9c-79c9-4630-9b0f-7c83f0eb5fd5,-1,0.054863988575249927,-1,0.00942091570034366,-1,0.09096091240993312,30,1.0
51533bcb-1259-4e2d-8b20-7fc97ca3aea4,0,0.7332300230578743,-1,0.13036074099214146,-1,0.06514710640983308,-1,0.19086697280871331
66a299d1-025f-4949-a466-6e30478023ac,0,0.8974684848098536,-1,0.01580565137295338,29,0.28556837755502984,51,0.2701920461488991
b257ceca-c133-4bb7-9a5c-394f1223ed10,1,0.496609735677214,-1,0.045063796696626864,0,0.2643759396469954,-1,0.04648823492483788
5c6ed1f9-399e-4a8e-817e-f54ddca594db,6,0.024064199564901145,52,0.20248087834388306,43,0.3267983178690314,62,1.0
034093db-799d-4994-a26f-ed4391bdce3a,0,0.5656674468452121,11,0.020407114647513408,-1,0.014877510981815502,-1,0.03332076020926065
54a26ffe-7a12-4e66-bb68-a1f2e35ae05e,0,0.6486585127640492,-1,0.013035502579863505,-1,0.05794841860260915,-1,0.018173286084683875
32b3fc45-7b52-453a-9e87-174be984ef7b,0,0.7495116609299254,6,0.8064758808385122,9,0.7630783981833271,5,0.2652477219966526
3cde462c-74cb-44c7-b60b-73ab3139d955,35,0.17421991181295368,-1,0.0648025276933122,8,0.18861495913352858,-1,0.01853687572668713
bfc8c081-b972-485d-a9d3-6eab0cefd6ca,0,0.6481262857610742,3,0.11824174423658677,35,0.13215270756740463,0,0.11843044915401368
a1483589-8654-4882-9c20-fd7ea428b399,-1,0.032377165007502186,-1,0.05332181639419083,-1,0.08628476701908579,12,0.15883059284213305
d2ae9358-f1ca-4fdb-9db2-f67e923f0fc2,14,0.10061955621965932,-1,0.00935749529515394,34,0.15695220048682754,6,0.04671389693007915
cbb82082-5a2c-40be-a26d-059a483573d2,-1,0.021533090520096516,-1,0.08000173615751996,-1,0.057820988913897975,32,1.0
50651d08-7946-4aac-b25e-523707b728d6,-1,0.10026269268566948,31,0.3215492833191251,-1,0.03306876788952449,47,0.06734148980910468
adc2f565-f3f3-4eed-8374-13a2f1132ec0,47,1.0,-1,0.08973495917868532,52,1.0,30,0.049395916923426784
2c7280d1-899c-449b-9667-07c9f58d512a,27,1.0,18,0.11002052862230398,11,0.016855879246599592,-1,0.06970076208649217
4847f97b-9913-4ebb-82ec-1cdd8f6ea6ea,22,1.0,30,1.0,22,0.39006074138633734,28,0.8178902642576328
defb2569-8a65-45e6-8852-b3ef6b857db1,14,0.4098569409206232,17,1.0,-1,0.0729935941320066,14,0.3292012244831885
83bbd8a0-1ea8-48b1-8668-78b5115afe46,0,0.6388317859762426,3,0.10889383237745952,6,0.33846884463783905,0,0.27105110361909446
adcff1c6-5631-426f-88d9-c53239752e4c,2,0.6029665964385921,46,0.13118217322938222,32,0.21203662926498118,46,0.311548148157287
e5fe80d2-1622-4109-8816-cd4ea9c8996e,-1,0.0368600717825145,-1,0.01079271509059552,12,0.16959307630466677,-1,0.011281090171402308
78814c74-a20a-4998-adbe-27cdeb2d4b0a,14,0.2943659146207064,17,0.0689654532168825,-1,0.016990628644948387,14,1.0
7b9846d5-68b5-45ff-a961-f46a7040c047,10,0.03968032340735833,10,0.15911318550518636,8,0.41380134437705207,-1,0.07963150244644673
45f72870-cc98-4631-876e-56688e26c7b2,-1,0.17295929329230028,1,0.5651229130574328,-1,0.07379582004093033,42,1.0
407180c5-2c92-4c3b-9a4b-63b0eaefd871,-1,0.09583091596491115,5,1.0,-1,0.06493592300209407,-1,0.2837123197646385
6ee45471-fb24-4d7d-a678-779fa2b16760,0,0.8729973034842087,11,0.032666065347845004,6,0.09415003349188722,-1,0.1680093386472524
