,ics_table_id,funder,id
6247,6247,Arthritis and Rheumatism Council,11726
3662,3662,Artificial Researcher IT GmbH,6878
10,10,Arts Council England [GBR],24
3654,3654,Arts Council of Ireland,6865
2423,2423,Arts Council of Northern Ireland,4416
935,935,Arts Humanities Research Council,1716
0,0,Arts and Humanities Research Council [GBR],2
5186,5186,Arts council England,9726
6337,6337,Artsadmin Green Commission Award,11898
3962,3962,Aryballe Technologies,7429
2266,2266,Aspire Trust,4095
5967,5967,Assessments and Qualifications Alliance,11149
779,779,Assissa Consulting,1461
5984,5984,Association Francais contre les Myopathies,11191
2220,2220,Association for International Cancer Research,4018
1635,1635,Association for Journalism Education,2983
1355,1355,Association for the Advancement of Medical Instrumentation,2430
4029,4029,Association for the Improvement of Mental Health,7582
777,777,Association for the Prevention of Torture,1454
1289,1289,Association for the Study of Modern Italy,2301
162,162,Association of Art Historians (AAH),300
779,779,Association of British Bookmakers,1457
2270,2270,Association of British Insurers,4107
1191,1191,Association of British Neuroscientists,2138
4394,4394,Association of Business Recovery Professionals,8314
4103,4103,Association of Chartered Certified Accountants,7750
2076,2076,Association of Chief Police Officers Criminal Records Office,3758
1290,1290,Association of Chief Police Officers [GBR],2307
5069,5069,Association of Commonwealth Universities,9509
1125,1125,Association of North East Councils,2039
2430,2430,Association of Project Management,4427
3174,3174,Association of Sign Language Interpreters,6021
4371,4371,Association of South East Asian Studies,8274
782,782,Astellas,1469
2149,2149,Astex Technology,3878
340,340,Asthma UK,677
75,75,AstraZeneca,140
3848,3848,AstraZenica,7204
5003,5003,"Asylum, Migration and Integration Fund",9375
4292,4292,Atlantic Philanthropies,8138
4750,4750,Augean,8967
942,942,Augustus Foundation,1732
2981,2981,Australian Aid,5606
1075,1075,Australian Attorney-General's Department,1960
3047,3047,Australian Automobile Association,5778
2642,2642,Australian Centre for International Agricultural Research,4925
1696,1696,Australian Department of Defence,3115
4219,4219,Australian Government,8002
4104,4104,Australian Government Office for Learning and Teaching,7751
1687,1687,Australian National University,3085
106,106,Australian Research Council,191
3796,3796,Austrian Climate Research Programme,7125
6348,6348,Austrian Government,11914
2914,2914,Autism Cymru,5486
5841,5841,Autism Education Trust,10911
2914,2914,Autism Speaks,5487
461,461,Autism Speaks Foundation,899
2878,2878,Autistica,5399
6006,6006,Automobile Association,11251
4000,4000,Autonomous Devices,7510
27,27,Avaaz,72
1716,1716,Avon Primary Care Research Collaborative,3171
5767,5767,Axa,10734
3816,3816,B-Hive Innovations,7150
748,748,BAE Systems,1405
2515,2515,BASF Beauty Care Solutions,4641
2171,2171,BBC,3921
1892,1892,BBC Trust,3462
5011,5011,BEAMA,9401
3968,3968,BFI,7446
4017,4017,BG Group,7544
2574,2574,BHP Billiton,4758
2432,2432,BIAL Foundation,4431
4466,4466,BIOPAMA,8432
45,45,BIS and British Council,99
6327,6327,BMI Foundation,11866
1991,1991,BNL,3625
5704,5704,BNP Paribas,10587
4353,4353,BNP Paribas Foundation,8246
6227,6227,BP Chemicals,11694
501,501,BP International,975
1394,1394,BSC International Holdings,2495
206,206,BT,396
4142,4142,BT Group,7821
2243,2243,BUPA Foundation,4055
2845,2845,Babcock International and Doosan Babcock,5324
3818,3818,Babes in Arms,7153
2293,2293,Backstage Trust,4146
3011,3011,Badminton World Federation,5693
3035,3035,Baily Thomas Charitable Foundation,5755
2878,2878,Baily Thomas Charitable Fund,5397
2878,2878,Baily Thomas Foundation,5401
10,10,Bancroft Educational trust,31
