,ics_table_id,funder,id
2358,2358,Culham Centre for Fusion Energy,4265
4657,4657,Culham St Gabriels Trust,8835
4658,4658,Culham St Gabriel’s Trust,8837
1493,1493,Cultural Grant [EU],2701
936,936,Cumbria Archives Service,1721
2175,2175,Cumbria County History Trust,3935
6025,6025,Cunningham Trust,11305
179,179,Cure Huntington’s Disease Initiative,338
3100,3100,Cure Leukemia,5886
3975,3975,Cure Parkinson's Trust,7460
2396,2396,Curo,4352
818,818,Curriculum Examinations and Assessment Association for Northern Ireland,1525
3953,3953,Czech Academy of Sciences,7403
601,601,D2N2 Local Enterprise Partnership,1160
4795,4795,DATASAT Europe,9046
941,941,DEBRA,1731
2627,2627,DJO Global Company,4869
2864,2864,DNV Healthcare,5358
2490,2490,DSM Nutritional Products,4600
1341,1341,DSV Solutions Nederland BV,2401
6104,6104,DTI/WPL,11458
3429,3429,Daisy Appeal Charity,6477
3410,3410,Daiwa Anglo-Japanese Foundation,6442
3221,3221,Dalarna University,6111
4030,4030,Dana Foundation,7585
1975,1975,"Danish Agency for Science, Technology and Innovation",3593
1694,1694,Danish Arts Council,3107
795,795,Danish Innovation Foundation,1493
5998,5998,Danish Innovation Fund,11224
1705,1705,Danone,3137
3576,3576,Danone Nutricia,6727
875,875,Daphne Jackson Trust,1611
4524,4524,Dartington Hall Trust,8572
1031,1031,Darwin Initiative,1898
4336,4336,Darwin Plus,8205
4330,4330,Data Lab,8188
2990,2990,David and Elaine Potter Foundation,5638
1621,1621,Dawe Charitable Trust,2947
2614,2614,Dawes Trust,4847
1762,1762,De Montfort University Gallery,3258
4692,4692,DePuy International,8883
2864,2864,Deakin University,5353
1408,1408,Dee District Salmon Fishery Board,2539
6080,6080,Deep Carbon Observatory,11395
1408,1408,Deep Sea Conservation Coalition,2540
344,344,DeepMind,688
3197,3197,DeepMind Technologies,6074
2454,2454,Defence and Security Accelerator,4493
5080,5080,Defence and Security Accelerator [GBR],9539
4888,4888,Defense Advanced Research Projects Agency,9217
2195,2195,Defense Threat Reduction Agency [USA],3984
5968,5968,Deloitte,11151
2627,2627,Delsys,4868
823,823,Dementia Services Development Trust,1535
1673,1673,Denplan,3059
1673,1673,Dental Protection,3050
4466,4466,Denver Zoological Foundation,8450
96,96,Departement Omegiving,176
2587,2587,Department for Business Energy & Industrial Strategy,4779
5305,5305,Department for Business Innovation and Skills,9925
601,601,"Department for Business, Energy & Industrial Strategy",1159
71,71,"Department for Business, Energy and Industrial Strategy [GBR]",138
364,364,"Department for Children, Schools and Families [GBR]",729
6269,6269,"Department for Communities, NI",11776
1731,1731,"Department for Digital, Culture, Media and Sport [GBR]",3196
536,536,Department for Education and Skills [GBR],1057
2321,2321,"Department for Employment and Learning, NI",4203
3,3,"Department for Environment, Food and Rural Affairs [GBR]",14
3,3,Department for International Development [GBR],12
485,485,"Department for Levelling Up, Housing and Communities [GBR]",940
519,519,Department for Trade and Industry,1002
256,256,Department for Transport [GBR],498
237,237,Department for Work and Pensions [GBR],450
167,167,Department for the Economy,311
36,36,Department for the Economy Northern Ireland,88
1774,1774,"Department for the Economy, NI",3280
3097,3097,Department of Agriculture Food and the Marine [IRE],5877
5220,5220,"Department of Agriculture, Animal and Plant Health Inspection Service [USA]",9779
4879,4879,"Department of Agriculture, Environment and Rural Affairs (DAERA)",9201
2422,2422,"Department of Agriculture, Food and the Marine [IRE]",4408
6270,6270,Department of Canadian Heritage,11781
2968,2968,Department of Communities and Local Government,5575
910,910,Department of Culture Heritage and Gaeltacht Ireland,1664
1939,1939,"Department of Culture, Arts and Leisure, NI",3524
5608,5608,Department of Defense [USA],10413
336,336,"Department of Digital, Culture, Media and Sport [GBR]",665
1438,1438,"Department of Education, Northern Ireland",2593
1991,1991,Department of Energy [USA],3624
4407,4407,Department of Energy and Climate Change [GBR],8342
4994,4994,Department of Foreign Affairs [IRE],9358
768,768,Department of Foreign Affairs and Trade [AUS],1434
3892,3892,Department of Health and Human Services [USA],7275
1366,1366,Department of Health and Public Health Agency,2442
804,804,Department of Health and Public Health Agency [GBR],1505
17,17,Department of Health and Social Care [GBR],54
2490,2490,"Department of Health, NI",4602
256,256,Department of Homeland Security [USA],499
1838,1838,Department of International Development,3376
2314,2314,Department of Justice [USA],4188
2562,2562,Department of Science and Innovation [ZAF],4740
413,413,Department of Science and Technology,800
3393,3393,Department of Science and Technology [IND],6402
2629,2629,Department of Science and Technology [PHL],4892
5779,5779,Department of State's Office to Monitor and Combat Trafficking in Persons [USA],10765
129,129,Department of Trade and Industry [GBR],235
2450,2450,Department of Transport [GBR],4483
682,682,"Department of the Environment, Transport and the Regions [GBR]",1313
6045,6045,Derby City Council,11342
5275,5275,Derby County Community Trust,9858
5275,5275,Derby and Nottinghamshire Collaborative Outreach Project,9856
5275,5275,Derbyshire County Council,9857
4276,4276,Derbyshire Police and Crime Commissioner,8112
423,423,Deregallera,818
1167,1167,Deutsche Forschungsgemeinschaft,2106
925,925,Deutsche Gesellschaft fur Internationale Zusammenarbeit,1704
2086,2086,Deutsche Gesellschaft für Internationale Zusammenarbeit,3784
1282,1282,Devon County Council,2284
3259,3259,Devon-wide Local Authories,6161
4777,4777,Diabetes Research and Wellness Foundation,9017
1085,1085,Diabetes UK,1987
2710,2710,Diabetes and Research (Cedar) Charity,5066
6204,6204,Diageo Scotland,11640
1594,1594,Dialog Semiconducter,2896
4086,4086,Dialogue Matters,7717
6095,6095,Diamond Light Source,11436
5770,5770,Diana Princess of Wales Memorial Fund,10747
163,163,Digital Health Institute,302
5638,5638,Digital Research Infrastructure for the Arts and Humanities [EU],10475
2776,2776,Dimbleby Cancer Care,5189
2396,2396,Direct Line,4341
4299,4299,Disability Action Northern Ireland,8144
3361,3361,Disability Research for Independent Living and Learning,6326
1508,1508,Diversity Works for London,2717
168,168,DoD,320
514,514,Doble,988
514,514,Doble Engineering Trabsinor AS,989
514,514,Doble Power,991
514,514,Doble Power Test Ltd,990
5123,5123,Documentation Centre for Music,9609
18,18,Dog Welfare Trust,58
2414,2414,Dog's Trust,4388
2941,2941,Dogs Trust,5525
1631,1631,Dominic Scriven OBE,2967
3099,3099,Douglas Pharmaceuticals,5879
5793,5793,Douglas Trust,10794
2823,2823,Dr Mortimer & Theresa Sackler Foundation,5283
3418,3418,Dr Mortimer and Theresa Sackler Foundation,6455
3988,3988,Dr William M Scholl Research and Development Endowment Fund,7488
5032,5032,Dragon Capital Group,9437
5528,5528,Dream It Believe It,10291
2030,2030,Dresden State Art Collections,3680
10,10,Drill Hall Canberra [AUS],43
4525,4525,Drinkaware Trust,8579
2715,2715,Driver and Vehicle Standards Agency [GBR],5074
1253,1253,Drugs for Neglected Diseases initiative,2240
3787,3787,Dstl,7104
362,362,Dunhill Medical Trust,724
5821,5821,Durham County Council,10856
1539,1539,Durham University,2797
959,959,Durrell Wildlife Conservation Trust,1759
5824,5824,Dwr Cymru,10864
313,313,DyCom,605
313,313,DyVOSE,606
4170,4170,Dyfed-Powys Police,7908
4913,4913,Dyson,9244
5085,5085,EA Technology,9552
2180,2180,EAGA Charitable Trust,3950
3013,3013,EAT,5704
186,186,EC Framework Projects,353
5057,5057,ECB National Cricket Academy,9494
6114,6114,ECR Community,11477
222,222,EDF Energy,424
695,695,ELIXIR,1337
2113,2113,EPA Cephalosporin Fund,3815
3908,3908,"EPSRC, AHRC",7307
3908,3908,"EPSRC, AHRC, English Heritage",7318
3908,3908,"EPSRC, The National Gallery",7309
4740,4740,EU Culture Programme,8953
189,189,EU Jean Monnet MAPS project,365
1006,1006,EUROCONTROL,1849
2852,2852,EVZ Foundation,5332
5509,5509,Early Career Fellowship,10263
1379,1379,Earthwatch Institute,2467
952,952,East Africa Research Fund,1746
5867,5867,East Cheshire Hospice,10966
1762,1762,East Durham Creates,3255
1024,1024,East Lothian Council Education Services,1882
1047,1047,East Midlands Development Agency,1921
3950,3950,East Midlands Development Agency (EMDA),7395
2908,2908,East Midlands Health Innovation and Education Cluster,5483
2042,2042,East Midlands Special Operations Unit,3697
2636,2636,East of England Strategic Health Authority,4913
2864,2864,Eastern Academics Science Network,5362
6011,6011,Ecological Consultancy,11263
0,0,Economic and Social Research Council [GBR],1
4416,4416,Ecorys,8351
4613,4613,Ecosystem Services for Poverty Alleviation,8776
5971,5971,Edexcel,11155
3174,3174,Edinburgh Beltane,6025
730,730,Edinburgh Council,1380
6228,6228,Edinburgh Knowledge Exchange,11695
454,454,Edinburgh Parallel Computing Centre,889
730,730,Edinburgh University,1382
1776,1776,Edinburgh and Lothian Health Foundation,3286
1545,1545,Edinburgh and Lothian’s Health Foundation Trust and the Heart Diseases Research Fund,2809
27,27,"Edmund J. Safra Center for Ethics, Harvard University",71
4996,4996,"Education Above All, Qatar",9362
1666,1666,Education Achievement Service,3043
1180,1180,Education Achievement Service South East Wales,2121
1024,1024,Education Action Service South East Wales,1884
493,493,Education Endowment Foundation,955
1615,1615,Education Endowment Fund,2934
1577,1577,Education International,2857
1024,1024,Education Scotland,1881
1483,1483,Education and Training Foundation,2693
5971,5971,Educational Testing Service,11157
2115,2115,Efamol,3820
5946,5946,Eidos,11112
6193,6193,Elders Council,11621
3054,3054,Electoral Commission,5791
4329,4329,Electoral Integrity Project,8186
3185,3185,Electricity North West,6048
2685,2685,Electricity Supply Board Group,5013
2482,2482,Element Six,4566
2710,2710,Eli Lilly,5062
2515,2515,Elixir,4646
495,495,Elizabeth Clark Charitable Trust,960
3512,3512,Elmhurst Ballet School,6594
5284,5284,Elsevier,9879
454,454,Embedded CSE,890
6028,6028,Emergent BioSolutions,11317
5420,5420,Emory and Harvard Hutchins Centre,10135
2704,2704,Empowerment Matters,5049
2450,2450,Emteq,4485
2848,2848,Energy Institute,5327
1095,1095,Energy Systems Catapult,2005
905,905,Energy Technologies Institute,1657
523,523,Energy Technologies Institute (ETI),1022
3389,3389,Energy Technology Partnership,6389
3912,3912,Energy Technology Partnership (ETP),7332
3393,3393,Engineering Composites Solutions Ltd,6398
0,0,Engineering and Physical Sciences Research Council [GBR],3
2095,2095,England and Wales Cricket Board,3793
224,224,English Heritage,427
792,792,English Institute of Sport,1488
3302,3302,English Nature,6224
1775,1775,Enhanced Recovery After Surgery Society,3282
1668,1668,Enhancing Learning and Research for Humanitarian Assistance,3046
231,231,Enterprise Research Centre,440
919,919,Entertainment Industry Foundation,1684
520,520,Environment Canada,1008
133,133,Environmental Agency [GBR],238
1952,1952,Enzo Life Sciences,3540
4067,4067,Epigenesys,7668
274,274,Epilepsy Research Foundation,537
274,274,Epilepsy Research UK,543
3015,3015,Equality and Human Rights Commission,5705
2786,2786,Equestrian Solutions,5214
1309,1309,Equity Housing Group,2341
621,621,Erasmus University Rotterdam,1199
56,56,Erasmus [EU],119
832,832,Ergotron,1551
6295,6295,Ericsson,11819
3164,3164,Ernest Young,6012
520,520,Esme Fairbairn Foundation,1010
1339,1339,Esme Fairburn Foundation,2389
1251,1251,Esmée Fairbairn,2234
220,220,Esmée Fairbairn Foundation,417
1885,1885,Esmée Fairbairn Trust,3445
5314,5314,Essex County Council,9947
2515,2515,Estee Lauder,4642
4027,4027,Estonian Council,7575
6335,6335,Estonian Parliament,11894
4086,4086,Eurochild,7715
6003,6003,European Agency for Safety and Health at Work,11238
5834,5834,European Agricultural Fund for Rural Development,10894
2982,2982,European Association for the Study of the Liver,5610
3140,3140,European Association of Producers of Flame Retarded Olefinic Cable Compounds,5978
959,959,European Association of Zoos and Aquaria,1758
3900,3900,European Aviation Safety Agency,7289
4557,4557,European Centre for Disease Control,8642
140,140,European Centre for Disease Prevention and Control,258
377,377,European Centre for Medium-Range Weather Forecasts,747
3317,3317,European Climate Foundation,6255
313,313,European Comission/ GEANT,608
1206,1206,European Commision,2157
274,274,European Commission DG Sante,540
5716,5716,European Commission European Regional Development Fund,10620
2078,2078,European Commission Joint Research Centre,3765
1337,1337,European Commission Research Directorate,2385
16,16,European Commission [EU],50
5854,5854,"European Commission, Director-Generate Justice",10936
353,353,European Cooperation in Science and Technology,707
4351,4351,European Corporation in Science and Technology,8237
2781,2781,European Council [EU],5202
3410,3410,European Culture Programme,6437
2845,2845,European Defence Fund [EU],5322
5308,5308,European Federation of Building and Woodworkers,9938
2486,2486,European Federation of Pharmaceutical Industries and Associations,4581
4959,4959,European Financial Reporting Advisory Group,9305
254,254,European Fisheries Control Agency,493
254,254,European Fisheries Fund,489
3125,3125,European Food Safety Authority,5950
395,395,European Food Standards Agency,773
2798,2798,European Foundation for the Improvement of Living and Working Conditions,5233
4663,4663,European Foundation for the Study of Diabetes,8846
5344,5344,European Heart Rhythm Association,10013
3913,3913,European Huntington's Disease Network,7334
136,136,European Institute of Innovation and Technology,246
3223,3223,European Investment Bank,6115
2650,2650,European League Against Rheumatism,4948
3915,3915,European Maritime and Fisheries,7343
2535,2535,European Maritime and Fisheries Fund,4681
2494,2494,European Medicines Agency,4616
2431,2431,European Monitoring Centre for Drugs and Drug Addiction,4430
2195,2195,European Nuclear Science and Application Research 2,3983
4771,4771,European Observation Network for Territorial Development and Cohesion (ESPON),9003
2751,2751,European Oncology Nursing Society,5144
5201,5201,European Organisation for Research and Treatment of Cancer,9753
3521,3521,European Organisation for the Exploitation of Meteorological Satellites,6616
1152,1152,European Organization for Nuclear Research,2077
5988,5988,European Orthodontic Society,11204
36,36,European Parliament,87
1247,1247,European Parliament [EU],2229
1142,1142,European Regional Development Fund,2066
601,601,European Regional Development Fund (ERDF),1158
204,204,European Regional Development Fund [EU],394
3588,3588,"European Regional Development Fund, North West Development Agency",6737
40,40,European Research Council [EU],91
3739,3739,European Research Fund,7020
5761,5761,European Respiratory Society (ERS),10708
1326,1326,European Schoolnet,2372
1544,1544,European Science Foundation,2805
999,999,European Social Fund,1837
4108,4108,European Society for Organ Transplantation,7758
464,464,European Space Agency,902
5011,5011,European Structural and Investment Funds,9392
1577,1577,European Trade Union Committee for Education,2855
4284,4284,European Union Agency,8124
3614,3614,European Union Agency for Fundamental Rights,6792
5487,5487,European Union Aviation Safety Agency,10231
5761,5761,European Union Innovative Medicines Initiative (EU-IMI),10707
4027,4027,European Union Seventh Framework Programme for Research,7574
0,0,European Union [EU],0
6195,6195,European Union/Welsh Government,11625
6025,6025,European and Developing Countries Clinical Trial Partnership,11306
1526,1526,European and Developing Countries Clinical Trials Partnership,2763
4228,4228,"EuropeanCommission,FetalMedicineFoundation",8021
4379,4379,Eurospine,8301
3064,3064,Eurostat,5823
5432,5432,Eurpoean Commission (via WEFO),10165
4196,4196,Evelyn Trust,7951
2487,2487,Everton FC,4587
3638,3638,Evoqua Water Technologies,6847
4407,4407,Exeter City Council,8340
1581,1581,Exmoor National Park Authority,2865
1230,1230,F2G,2196
2519,2519,FM Global,4664
3178,3178,Fabrica,6036
138,138,Facebook United,251
1389,1389,Falck Foundation,2488
6183,6183,Falkland Islands Government,11593
4086,4086,Family Action,7711
3455,3455,Family Larsson-Rosenquist Foundation,6534
3532,3532,Faraday Institute of Science and Technology,6636
3180,3180,Faraday Institution,6040
3300,3300,Fare Network,6220
2468,2468,Fast Track to Innovation [EU],4530
235,235,Fauna and Flora International,446
6091,6091,Federal Bureau of Investigation,11424
5707,5707,Federal Department for Foreign Affairs,10591
4450,4450,Federal Ministry for Economic Affairs and Energy,8401
4211,4211,Federal Ministry of Education and Research (BMBF),7984
2514,2514,Federal Ministry of Education and Research [DEU],4639
6121,6121,Federation Internationale de Natation,11485
47,47,Ferens Education Trust,105
1991,1991,Fermi National Accelerator Laboratory,3626
4382,4382,Fertility Network UK,8306
943,943,Festival 2014,1736
3091,3091,FiTForLaw,5864
889,889,Fieldstead and Company,1633
2477,2477,Fifth Framework Programme [EU],4551
135,135,Fight for Sight,242
87,87,Fight for sight,164
1947,1947,Financial Conduct Authority,3535
3107,3107,Financial Reporting Council,5901
1947,1947,Financial Services Consumer Panel,3534
4626,4626,Finnish Centre for Pensions,8795
2729,2729,Finnish Government Funding Agency for Technology and Innovation,5109
4338,4338,Fire Brigades Union,8215
3668,3668,Fire Protection Association,6896
2715,2715,Fire Service Research and Training Trust,5075
454,454,First Grant Scheme,892
3761,3761,First Group,7051
3761,3761,First Rail Holdings,7049
3306,3306,Fish and Wildlife Service [USA],6231
753,753,Fisheries Innovation Scotland,1413
5674,5674,Fitzwilliam Museum,10532
4971,4971,Flemish Peace Foundation,9319
2749,2749,Flood Re,5137
1724,1724,Flora and Hewlett Foundation,3180
3662,3662,FlowCite GmbH,6885
1414,1414,Fluoron Gmbh [DEU],2553
2872,2872,Folke Bernadotte Academy,5385
2515,2515,Follicum AB,4644
4613,4613,Fondation Bertarelli,8778
3908,3908,Fondation Beyeler,7314
395,395,Food Safety Authority for Scotland,774
3427,3427,Food Standards Agency Scotland,6476
2802,2802,Food Standards Agency Wales,5242
254,254,Food Standards Agency [GBR],487
2420,2420,"Food Standards Agency, NI",4401
395,395,Food Standards Scotland,772
322,322,Food and Agriculture Organisation [UN],628
3788,3788,Football Association,7106
2170,2170,Football Association of Wales Trust,3919
5851,5851,Foras na Gaeilge,10932
1003,1003,Forces in Mind,1844
2341,2341,Forces in Mind Trust,4241
1768,1768,Ford,3266
5028,5028,Ford Foundation,9431
6015,6015,Foreign Ministry [DEU],11270
2057,2057,Foreign and Commonwealth Office,3711
3589,3589,Foreign and Commonwealth Office UK,6739
138,138,"Foreign, Commonwealth and Development Office [GBR]",252
5824,5824,Forest Research,10862
5131,5131,Forest Research Institute,9628
1631,1631,Forestry Commission,2976
3097,3097,Forestry Commission Scotland,5874
3795,3795,Formas,7121
2634,2634,Fortaleza City Council,4910
1024,1024,Forth Valley and West Lothian Regional Improvement Collaborative,1888
2226,2226,Foster Findlay,4029
3996,3996,Foundation for Baltic and East European Studies,7503
3318,3318,Foundation for European Progressive Studies,6258
2629,2629,Foundation for Innovative New Diagnostics,4889
1065,1065,"Foundation for the Memory of the Shoah, Paris",1949
5702,5702,Foundation for the Study of Infant Deaths,10578
608,608,Foundation of National Institutes of Health,1169
3135,3135,Foundation to Promote Open Society,5969
6132,6132,Frame Foundation,11504
4498,4498,Franckesche Stiftungen,8509
4689,4689,Fred and Marjory Sainsbury Trust,8877
1097,1097,Free Press,2011
5003,5003,Freedom from Torture,9373
3748,3748,Freelands Foundation,7025
5973,5973,French Agency for Research on AIDS and Viral Hepatitis,11162
680,680,Fresca Group,1308
1641,1641,Friends Provident,2997
1036,1036,Friends Provident Charitable Foundation,1906
1095,1095,Friends Provident Foundation,2007
536,536,Froebel Trust,1058
4030,4030,Fulbright UK-US Commission,7587
959,959,Fundacao do Ciencias e Tecnologia,1765
2930,2930,Fundació Institut Catali de I'Envelliment,5507
5003,5003,Fundatia Terre des homme Elvetia,9374
1230,1230,Fungal Research Trust,2194
6247,6247,Furlong Research Foundation,11729
5558,5558,Further Education Trust for Leadership,10324
2786,2786,Fédération Equestre Internationale,5207
1500,1500,Fédération Internationale des Associations de Footballeurs Professionnels,2711
4652,4652,G1: Big Lottery,8828
5784,5784,G4S,10774
3962,3962,GABA International,7419
1509,1509,GAMA,2723
6243,6243,GAVI,11720
2325,2325,GB Rowing,4218
1673,1673,GC,3060
3790,3790,GCRF Newton Fund,7110
1271,1271,GE Aviation,2268
167,167,GMB,318
3417,3417,GML,6454
630,630,GORTA-Self Help Africa,1213
1955,1955,GW Pharma,3549
6264,6264,Gad Rausings Stiftelse,11770
3349,3349,GambleAware,6312
5613,5613,Gambling Commission,10423
2140,2140,Garden Organic,3861
2982,2982,Gardiner-Caldwell Communications,5611
3576,3576,Garfield Weston,6719
5566,5566,Garfield Weston Foundation,10335
4137,4137,Gas Sensing Solutions,7804
5720,5720,Gates,10630
529,529,Gates Foundation,1045
2881,2881,Gateshead Council,5406
1112,1112,Gatsby Charitable Foundation,2021
4739,4739,Gatsby Foundation,8951
1586,1586,Gavi,2875
1769,1769,Geita Gold Mine,3273
1270,1270,General Dynamics Mission Systems,2265
6189,6189,General Federation of Trade Unions,11610
4615,4615,General Medical Council,8783
2849,2849,General Osteopathic Council,5329
3968,3968,Genesis Genetics UK,7444
1724,1724,Geneva Global,3178
3844,3844,Genomics England Limited,7198
4045,4045,Genzyme Therapeutics,7612
5422,5422,Georg-August-Uni Göttingen,10145
5253,5253,George Davies Early Career Award,9824
5759,5759,Gerda Henkel Foundation,10704
5124,5124,Gerda Henkel Stiftung,9610
5529,5529,German Academic Exchange Service,10295
5632,5632,German Center for Infection Research,10455
2086,2086,German Federal Ministry for Economic Cooperation and Development,3781
4996,4996,German Federal Ministry for Economic Cooperation and Development (BMZ),9363
4027,4027,German Federal Ministry of Health,7577
5561,5561,German Research Council,10325
1934,1934,German Research Foundation,3520
5939,5939,German Science Foundation,11099
4971,4971,German government,9322
6258,6258,Getty Conservation Institute,11751
13,13,Getty Foundation,45
5308,5308,Ghent University,9939
17,17,Gilead Sciences,52
2982,2982,Gilead Sciences Europe,5612
1629,1629,Girlguiding UK,2965
5106,5106,Givaudan,9584
5737,5737,Gladys Krieble Delmas Foundation,10663
2237,2237,Glasgow Centre for Population Health,4041
644,644,Glasgow City Council,1244
5146,5146,Glasgow Life,9658
276,276,Glasgow Museums,546
4460,4460,Glasgow School of Art,8419
17,17,GlaxoSmithKline,56
5944,5944,GlaxoSmithkline,11105
169,169,GlaxoWellcome,326
5244,5244,Global Action Fund for Fungal Infections,9812
5221,5221,Global Action Plan,9783
113,113,Global Alliance for Livestock Veterinary Medicines,203
1574,1574,Global Challenge Research Fund,2847
6307,6307,Global Challenge Research Fund [GBR],11843
201,201,Global Challenges Research Fund [GBR],388
3376,3376,Global Earthquake Model (GEM),6351
3376,3376,Global Facility for Disaster Reduction and Recovery,6356
785,785,Global Health Challenges,1477
5041,5041,Global Integrity,9460
283,283,Global Partnership for Education,560
4236,4236,Global Partnership to End Violence Against Children,8036
2140,2140,Gloucestershire County Council,3862
4775,4775,Gloucestershire County and Districts Councils,9008
3838,3838,Golsoncott Foundation,7185
1448,1448,Good Things Foundation,2619
1930,1930,Good Thinking Society,3517
138,138,Google,249
347,347,Google DeepMind,695
989,989,Gordon and Betty Moore Foundation,1821
4120,4120,Gothenberg Centre for Person Centred Care,7776
2306,2306,Government Communications Headquarters [GBR],4169
5949,5949,Government Communications Planning Directorate,11118
1508,1508,Government Equalities Office [GBR],2720
800,800,Government Investment Corporation of Singapore,1500
1904,1904,Government of Bizkaia,3479
5653,5653,Government of the Basque Country,10499
3546,3546,Grand Challenges Canada,6662
4461,4461,Grayson–Jockey Club Research Foundation,8422
3055,3055,Great Britain Sasakawa Foundation,5798
1815,1815,Great Britain Wheelchair Basketball,3334
274,274,Great Ormond Hospital Children’s Charity,544
318,318,Great Ormond Street Children's Charity,620
3858,3858,Great Ormond Street Hospital Children's Charity,7224
5795,5795,Great Ormond Street Hospital for Children,10802
1246,1246,Great Western Railways,2225
3036,3036,Great Western Research,5758
2968,2968,Greater Lincolnshire Local Enterprise Partnership,5577
3755,3755,Greater London Authority,7042
109,109,Greater Manchester Combined Authority,199
10,10,Greater Taiwan Biennale [TWN],42
1645,1645,Green Port Growth Fund,3002
2864,2864,Greenstreet Berman,5355
21,21,Greenwich Leisure,62
6235,6235,Grow MedTech,11708
1191,1191,Guarantors of Brain,2139
3741,3741,GuildHE CREST Network,7021
5702,5702,Guys and St Thomas’s Charitable Foundation,10579
2662,2662,Guy’s & St Thomas’,4967
941,941,Guy’s and St Thomas’ Charitable Foundation,1729
132,132,H+H UK,237
1690,1690,HEA,3094
2456,2456,HEFCE,4496
5981,5981,HEIFA,11187
1766,1766,HERA,3264
5981,5981,HLF,11185
1078,1078,HM Inspectorate of Constabulary,1970
5457,5457,HM Prison and Probation Service,10196
1721,1721,HM Prison and Probation Service [GBR],3175
5613,5613,HM Revenue and Customs,10421
1569,1569,HM Revenue and Customs [GBR],2839
3701,3701,HORIBA,6957
2786,2786,HOSSO,5208
87,87,HOYA surgical optics,165
1636,1636,HSBC,2987
5924,5924,HSC Research and Development,11066
3291,3291,Habitat [UN],6202
1603,1603,Haemonetics Corporation,2908
6280,6280,Hagley Museum and Library,11800
2001,2001,Hampshire Constabulary,3645
2668,2668,Hampshire County Council,4984
6090,6090,Hampshire and Isle of Wight Community Foundation,11423
1860,1860,Handel Institute,3403
1340,1340,Handicap International,2396
2786,2786,Handmade Shoes Clinic 2016,5218
635,635,Hans-Böckler Foundation,1224
2066,2066,Harewelle International Ltd,3728
3008,3008,Harlan,5686
4802,4802,Harry Ransom Center,9052
1853,1853,Harry Ransom Fellowship,3394
1147,1147,Harvard Law School,2072
4445,4445,Harvard University,8397
4689,4689,Haygain,8875
2826,2826,Headley Trust,5293
5778,5778,Headstart Kernow,10761
186,186,Health Data Research UK,349
2864,2864,Health Education East Midlands,5352
571,571,Health Education England,1128
3931,3931,Health Education England North East,7368
2905,2905,Health Education North West,5465
1715,1715,Health Education South London,3166
2212,2212,Health Innovation Challenge Fund,4007
140,140,Health Protection Scotland,257
1014,1014,Health Research Authority,1869
2422,2422,Health Research Board [IRE],4412
2460,2460,Health Security Committee [EU],4499
3608,3608,Health Technology Assessment,6779
1967,1967,Health Technology Assessment Programme,3575
1991,1991,Health and Care Research Wales,3622
654,654,Health and Safety Executive [GBR],1261
186,186,Health and Social Care Board,350
2485,2485,Health and Social Care Research and Development,4577
804,804,Health and Social Care Trust,1504
3962,3962,Healthcare Brands International,7420
4171,4171,Healthcare Improvement Scotland,7910
4823,4823,Healthcare Medical Trust,9093
4582,4582,Healthcare Quality Improvement,8705
1529,1529,Healthcare Quality Improvement Partnership,2773
1520,1520,Healthcare Quality Improvement Programme,2741
2309,2309,Healthway,4178
4407,4407,Healthy Housing Solutions,8341
832,832,Heart Research UK,1546
3628,3628,Heathrow Airport,6819
5707,5707,Heinrich Böll Stiftung,10590
6264,6264,"Helge Ax:son Johnsons Stiftelse, Sweden",11766
5180,5180,Help for Health,9718
3962,3962,Helperby Therapeutics Group,7423
86,86,Henan Pinggao Electric [CHN],160
3290,3290,Henry Luce Foundation,6199
3897,3897,Henry Moore Foundation,7283
1673,1673,Henry Schein,3055
1288,1288,Heriot Watt University,2297
6306,6306,Heriot-Watt University,11838
2368,2368,Heritage Council,4300
6204,6204,Heritage Lottery,11643
2135,2135,Heritage Lottery Grant,3852
1048,1048,Heritage Protection Commission,1922
1078,1078,Hertfordshire Police Crime Commissioner,1967
832,832,Herts Sports Partnership,1552
2786,2786,Hevosalan Edistamisyhdistys Ry,5217
5813,5813,Hewlett Foundation,10846
2406,2406,Hewlett Packard,4367
5333,5333,High Performance Swimming,9986
5844,5844,High Speed 2,10922
2135,2135,Higher Committee for Education Development in Iraq,3853
242,242,Higher Education Academy,460
4267,4267,Higher Education Academy Psychology Network,8090
2443,2443,Higher Education Authority of Ireland,4454
1867,1867,Higher Education Funding Council Wales,3421
32,32,Higher Education Funding Council for England,80
2276,2276,Higher Education Funding Council for Wales,4126
299,299,Higher Education Innovation Fund,590
1709,1709,Higher Education Innovation Fund (HEIF),3150
642,642,Higher Education Innovation Fund [GBR],1237
878,878,Higher Education Innovation Funding [GBR],1615
502,502,Higher Education Policy Institute [GBR],977
1846,1846,Highland Spring,3387
4744,4744,Highland and Islands Enterprise,8959
1532,1532,Highlands & Islands Enterprise,2787
281,281,Highlands and Islands Enterprise,553
1993,1993,Highways England,3634
5011,5011,Hildebrand Technologies,9398
2864,2864,Hill ROM,5369
98,98,Hilton Worldwide,178
5793,5793,Hinchley Charitable Trust,10798
412,412,Historic England,796
3897,3897,Historic Environment Scotland,7282
5597,5597,Historic Royal Palaces,10386
4916,4916,Historic Scotland,9258
5793,5793,Hockerill Educational Foundation,10799
5528,5528,Holos Life Sciences,10293
2396,2396,Home Group,4340
2319,2319,Home Office,4200
2996,2996,Honda Engineering Europe,5652
