id,ukprn,postcode,ics_id,uoa
0,10007144,E,1e6e075e-d5f5-421c-bb45-2708636b5190,21
1,10007151,LN,73be8e7c-907e-4e5b-8a8b-953b4d394c1b,6
2,10007788,CB,d59a4fa1-5e19-4394-bf46-451d905f0fa6,4
3,10007788,CB,ee22b99e-4fdb-470e-ab7f-7be0d4043431,6
4,10007851,DE,cdedee72-274f-4f42-8596-ba4c5454cd06,20
5,10007154,NG,ecf2a5ba-383e-48a1-91dc-c11219f5be9a,29
6,10000961,UB,acc14d05-f0e5-49e9-b962-75cb0c786250,12
7,10007788,CB,6cfef3d3-5578-48a3-bbae-5b4706fa7df4,2
8,10000961,UB,6c88b4ac-0cd4-4234-96e0-befc2565917b,7
9,10004351,NW,cfee92aa-3213-4aca-b740-311988235284,11
10,10000571,BA,e2b00394-d011-40f7-b4b2-3356794d9cc5,32
11,10007772,EH,960e8f89-2153-4f5f-b2cb-b82bb13733c6,32
12,10007800,PA,c4f2289e-9fd4-471b-bcdf-8b2ce16a99d0,24
13,10007774,OX,3fc46187-d61b-4415-aed8-57e1d0a8eba0,28
14,10004113,LE,93c37d0f-1849-4b00-a07c-373b3b56360a,12
15,10000961,UB,66e938df-d188-4182-9990-2dec54af6a00,17
16,10004930,OX,2aefe25b-98c5-4366-bee5-64d9f559eac5,13
17,10007154,NG,b7b0eb55-4c09-4894-8825-f0247bd32f80,5
18,10007788,CB,5d564082-2d5d-41b5-a169-7f11c137fbaa,6
19,10007773,MK,c90a1c87-9575-45fd-a37a-e736c3b739d7,17
20,10007772,EH,c28c36bd-ad72-4aa3-865f-17432ddae321,13
21,10004351,NW,c223df8c-01cb-401f-9a9d-3386ebae96a5,11
22,10007778,SW,3f91fcbb-1fb1-454d-9ee3-b87de7881607,33
23,10007788,CB,0eb17497-a615-4f0b-97ad-d7be4543b4d6,6
24,10007772,EH,adc80482-fc3c-4952-a37c-f5e9f43d7728,24
25,10007788,CB,8f802bfb-795a-4c66-9357-7532277fd40d,5
26,10007156,M,f4dc7ac5-25f3-4c05-9dcc-5ef75994ced2,33
27,10007760,WC,f84c8965-1e54-40fd-9b3c-7e68a9aebaec,32
28,10007773,MK,84a4ad06-92ef-4178-8b53-fd9d3ada750a,23
29,10007774,OX,3c54584b-5c70-4b2d-a90a-4cd28bac0e4d,33
30,10007764,EH,d292cf2d-0773-4452-8515-5b0e0752bdb4,25
31,10007789,NR,baf6d3df-a6c7-4c8c-b958-82768271d1d0,5
32,10006842,L,13822b1e-9ea7-426c-8d72-a8f061d7924a,34
33,10007855,SA,9d4284f3-e9e8-4d8b-9f62-df68c52fdb35,26
34,10003645,WC,a55bb562-0696-4665-8480-0ebd649f926d,28
35,10002718,SE,54b2816b-2569-40de-890b-d097f6f038c6,33
36,10005343,BT,c2ac4193-ff3d-4bde-9641-12309a896394,20
37,10007146,SE,de7b5750-1615-4cd7-bd7a-6fbc7b22d3c2,20
38,10007833,LL,640a0ff5-afa1-4a31-9441-b4a37e32cfac,32
39,10007802,RG,db8090f9-2c4a-45bd-a67c-977353397ed3,33
40,10002718,SE,feb74fb5-855a-4273-b8ad-5dc79be8b098,32
41,10007855,SA,8f7825bc-50e4-4313-8ad1-1837d483f903,27
42,10007783,AB,34e7e0ef-e939-490f-af01-c05891314892,30
43,10007761,WC,dfe521c4-5b2b-4e6c-bd3c-7b1d69d60310,32
44,10007804,FK,8ec473a5-bbeb-47e1-b782-10ad4a5acbd5,20
45,10007773,MK,ee235d5c-5bf4-40a5-94da-9591ce9e1d6a,17
46,10007805,G,d25d0e7c-de58-480b-88dc-80c67992943f,20
47,10007149,HU,b21e6a78-02d9-4230-93f9-a036b4290e22,27
48,10002718,SE,c39a7c40-ba6b-41bb-85fb-791112ae7f29,34A
49,10007154,NG,0a7fdd93-7aa7-422c-a2f8-47091a08127b,26
50,10001282,NE,3d0a8fd5-8702-45b8-b002-1f4fd4042f38,17
51,10005343,BT,9ff8da52-9796-4600-8bfc-b1f2f22b00b6,14
52,10007803,KY,38cdf896-7e30-480c-a8ea-8ade1f3113e4,27
53,10007785,BD,7b5ab914-b25b-456f-be0e-29c7af68b2a8,8
54,10007768,LA,524fb451-a8da-4bfe-95d7-176713daf242,7
55,10007713,YO,716cf3c5-cd91-4707-add0-8ffcb2bf77e2,21
56,10007145,GL,95c1638e-3cc5-4efb-9e3c-f1c64862c2e7,34
57,10007775,E,84dd9f99-be6b-4b8c-aeac-0ec32e7f2c93,3
58,10007156,M,66cf0dd6-b7b5-4c8c-b6d7-46c0d440327b,25
59,10007775,E,550cc3bd-3e2e-4f52-8dd2-b82c3fc6ddd2,9
60,10007790,EH,4c4ca9f6-4aaa-4a9f-b317-3c6ec89e39e4,27
61,10007774,OX,9ae98944-f9b3-48a9-81bd-778d8716860a,26A
62,10007158,SO,8683d219-0009-4ef5-94c6-394800b81094,28
63,10003678,KT,73dbc3bb-1e89-40d3-bb77-8a51e505297e,33
64,10007825,EC,b0cc817d-6c01-47db-ac53-ab369de00cb9,33
65,10004180,M,ca73bba6-6f7a-420e-a802-d4ae6e5ae610,27
66,10005337,EH,eb97036f-d2c9-426f-b47e-a5d7a5540c02,34
67,10007156,M,dc566dca-0212-4073-8eca-53a4aaf7385c,27
68,10007857,LL,11ed772d-1c8e-444f-8d78-ef3c8a3f8374,21
69,10007798,M,76865506-3810-4118-bdff-d032adedee42,32
70,10007850,BA,9457bbdf-5f50-4ab6-940c-ad995983f142,8
71,10007145,GL,e684b230-f53d-4bfd-be15-319ba3dfd9b3,14
72,10002718,SE,dcd83434-243a-4fba-946d-ea6ae7c78a08,27
