id,ics_table_id,funder
2308,1102,3. Economic and Social Research Council
2309,1102,4. Joseph Rowntree Foundation
2310,1104,SCIENCE AND TECHNOLOGY FACILITIES COUNCIL (STFC)
2311,1105,National Institute for Health Research
2312,1105,National Institute for Health Research
2313,1105,National Institute for Health Research
2314,1108,EPSRC (Engineering and Physical Sciences Research Council)
2315,1109,European Commission 
2316,1110,NERC
2317,1112,Gatsby Charitable Foundation
2318,1113,EPSRC
2319,1113,Scottish Enterprise
2320,1118,The Leverhulme Trust
2321,1118,NORFACE-ESRC
2322,1120,Economic and Social Research Council (ESRC)
2323,1120,Innovate UK
2324,1121,National Institute for Health Research
2325,1122,University of Bedfordshire
2326,1123,EPSRC
2327,1123,Scottish Funding Council
2328,1123,AHRC
2329,1124,Department for Transport
2330,1124,Transport for London
2331,1124,AHRC 
2332,1125,G1: ESRC
2333,1125,G2: ESRC
2334,1125,G3: Joseph Rowntree Foundation
2335,1125, St Chad's College (Durham University)
2336,1125,G4: Association of North East Councils
2337,1125, Institute of Local Governance
2338,1125,G5: Association of North East Councils
2339,1126,Wellcome Trust 
2340,1127,Arts and Humanities Research Council 
2341,1127,Economic and Social REsearch Council
2342,1127,Creative Scotland 
2343,1128,Somerset County Council (Somerset Emotion Coaching)
2344,1128,National Education Union (National SENCO Workload Survey Project)
2345,1128,"Wootton Bassett Community Area Board, Wiltshire Council (Emotion Coaching)"
2346,1128,"Melksham Community Area Board, Wiltshire Council (Melksham 0-19 Resilience Project )"
2347,1129,Engineering and Physical Sciences Research Council
2348,1129,Moog Controls Limited
2349,1129,Innovate UK
2350,1129,European Commission
2351,1130,European Commission
2352,1130,World Anti-Doping Agency
2353,1130,International Olympic Committee
2354,1131,European Union’s Seventh Framework Programme (FP7) 
2355,1133,AHRC
2356,1133,AHRC
2357,1135,AHRC
2358,1137,"AstraZeneca Science Teaching Trust,  now Primary Science Teaching Trust"
2359,1137,Primary Science Teaching Trust
2360,1137,Education Endowment Foundation 
2361,1139,AHRC
2362,1139,UnLtd 
2363,1139,Winston Churchill Memorial Trust 
2364,1139,The Mercers’ Company
2365,1140,AHRC
2366,1140,AHRC (Leadership Fellow)
2367,1142,AHRC
2368,1142,European Regional Development Fund
2369,1142,AHRC/GCRF
2370,1144,ESRC
2371,1144,ESRC
2372,1144,ESRC
2373,1145,Leverhulme Trust
2374,1146,Home Office
2375,1146,BBSRC
2376,1147,ERC
2377,1147,Harvard Law School
2378,1150,Economic and Social Research Council
2379,1150,UKRI
2380,1151,European Union
2381,1151,Royal Society Te Apārangi 
2382,1152,CERN
2383,1152,European Commission
2384,1152,European Commission
2385,1152,European Commission
2386,1153,Council of Europe
2387,1153,Paul Hamlyn Foundation
2388,1153,Quatar Foundation and AHRC
2389,1154,EPSRC (Engineering and Physical Sciences Research Council)
2390,1154,EU - European Union
2391,1155,Wellcome Trust
2392,1157,InnovateUK
2393,1157,Department for Transport
2394,1158,EPSRC
2395,1159,Leverhume Trust
2396,1159,BBSRC
2397,1159,BBSRC
2398,1160,NERC
2399,1160,NERC
2400,1160,NERC
2401,1160,NERC
2402,1161,American Society for Theatre Research
2403,1161,North American Taiwan Professors Association
2404,1161,"Council of Indigenous Peoples, Executive Yuan"
2405,1161,Ministry of Foreign Affairs Taiwan
2406,1163,European Commission
2407,1163,Japan Ministry of Internal Affairs and Communication
2408,1164,British Academy
2409,1164,Wolfson Foundation
2410,1165,AHRC
2411,1166,Arts and Humanities Research Council
2412,1167,British Council
2413,1167,Foreign and Commonwealth Office
2414,1167,British Institute for the Study of Iraq
2415,1167,Augustus Foundation
2416,1167,Foreign and Commonwealth Office
2417,1167,Augustus Foundation
2418,1167,British Institute for the Study of Iraq
2419,1167,Deutsche Forschungsgemeinschaft
2420,1169,Arts Council England
2421,1172,The British Academy
2422,1172,Arts and Humanities Research Council
2423,1175,Department for International Development
2424,1175,Department for International Development
2425,1175,Department for International Development (merged into Foreign Commonwealth and Development Office mid-grant)
2426,1177,NIHR
2427,1177,Cancer Research UK
2428,1179,Leverhulme Trust
2429,1179,LSE
2430,1180,ESRC
2431,1180,Nuffield
2432,1180,Scottish Government
2433,1180,Welsh Government
2434,1180,"NCCA, Ireland"
2435,1180,"Clackmannanshire, Argyll and Bute, East Lothian Councils"
2436,1180,EAS South East Wales
2437,1180,Forth Valley and West Lothian RIC
2438,1181,Interreg
2439,1182,Innovate UK
2440,1182,Innovate UK
2441,1183,British Heart Foundation
2442,1183,National Institute for Health Research
2443,1184,UKRI
2444,1184,Innovate UK
2445,1185,European Union Seventh Framework Programme FP7 
2446,1186,Home Office (UK)
2447,1186,HEFCE
2448,1187,ESRC (Economic and Social Research Council)
2449,1188,Innovate UK
2450,1188,NIHR
2451,1188,Innovate UK
2452,1189,Innovate UK
2453,1189,Innovate UK
2454,1189,Innovate UK
2455,1190,Medical Research Council
2456,1191,National Institute for Health Research
2457,1191,Association of British Neuroscientists
2458,1191,Guarantors of Brain
2459,1191,National Institute for Health Research
2460,1192,NIHR
2461,1192,Wellbeing of Women
2462,1192,Chief Scientist Office Scotland
2463,1193,Scottish Government
2464,1193,Scottish Government
2465,1193,Scottish Government
2466,1193,Scottish Government
2467,1193,Scottish Government
2468,1193,Scottish Government
2469,1193,Scottish Government
2470,1194,BUPA Foundation
2471,1196,European Commission
2472,1196,European Commission
2473,1196,European Commission
2474,1196,European Commission
2475,1197,Higher Education Academy (HEA)
2476,1197,Arts and Humanities Research Council
2477,1197,Arts and Humanities Research Council
2478,1197,Economic and Social Research Council
2479,1197,Arts and Humanities Research Council
2480,1197,Wellcome Trust
2481,1200,CEC / Bureau Veritas
2482,1200,US Office of Naval Research
2483,1202,Bristol Myers Squibb
2484,1203,European Commission
2485,1203,STFC
2486,1203,STFC
2487,1203,STFC
2488,1205,EPSRC
2489,1206,Scottish Funding Council
2490,1206,European Commision
2491,1206,Innovate UK
2492,1207,Railway Safety and Standards Board (RSSB)
2493,1207,Network Rail
2494,1207,European Commission
2495,1207,City of Bradford Metropolitan District Council
2496,1209,AHRC
2497,1209,AHRC
2498,1209,ESRC
2499,1211,Wellcome Trust
2500,1212,National Geographic Society
2501,1212,The Leverhulme Trust
2502,1212,John Simon Guggenheim Memorial Foundation
2503,1213,NERC
2504,1213,Belmont Forum/FACCE-JPI DEVIL
2505,1213,European Union
2506,1213,Horizon 2020 Research and Innovation Programme
2507,1213,Wellcome Trust
2508,1213,BBSRC
2509,1213,Scottish Government
2510,1213,RURAL AND ENVIRONMENT RESEARCH AND ANALYSIS DIRECTORATE
2511,1213,KR Foundation
2512,1213,EPSRC
2513,1214,European Research Council
2514,1215,Arts and Humanities Research Council
2515,1216,Arts Council England
2516,1217,European Research Council 
2517,1218,European Research Council
2518,1219,National Maritime Museum
2519,1219,TB-21 Academy
2520,1219,Rangiwaho Marae
2521,1221,Engineering and Physical Sciences Research Council
2522,1221,European Commission
2523,1222,NERC
2524,1223,British Academy
2525,1224,Scottish Funding Council
2526,1225,Creative Scotland
2527,1228,Economic and Social Research Council (ESRC)
2528,1230,Fungal Research Trust
2529,1230,National Institutes of Health
2530,1230,F2G Ltd
2531,1231,European Commission
2532,1233,GlaxoSmithKline
2533,1233,Chiesi Farmaceutica SpA
2534,1233,GlaxoSmithKline
2535,1233,AstraZeneca UK Ltd
2536,1233,Boehringer Ingelheim
2537,1233,NovartisPharmaceuticals UK Ltd
2538,1233,North West Lung Centre
2539,1233,GlaxoSmithKline
2540,1234,EUROCONTROL
2541,1234,European Commission
2542,1236,Department of Health
2543,1236,Youth Sport Trust
2544,1237,CRUK
2545,1237,Blood Cancer UK
2546,1238,ESPRC
2547,1238,SPI Lasers
2548,1239,Arts Council England
2549,1239,Wellcome Trust
2550,1240,British Council
2551,1240,Wellcome Trust
2552,1240,ESRC
2553,1240,ESRC
2554,1240,ESRC
2555,1241,EPSRC
2556,1242,Innovate UK
2557,1243,European Commission
2558,1243,Royal Academy of Engineering
2559,1243,Innovate UK
2560,1244,Technology Strategy Board/Innovate UK
2561,1244,Technology Strategy Board/Innovate UK
2562,1244,Technology Strategy Board/Innovate UK
2563,1244,Technology Strategy Board/Innovate UK
2564,1244,Technology Strategy Board/Innovate UK
2565,1244,Technology Strategy Board/Innovate UK
2566,1244,Technology Strategy Board/Innovate UK
2567,1244,Technology Strategy Board/Innovate UK
2568,1244,Technology Strategy Board/Innovate UK
2569,1244,Technology Strategy Board/Innovate UK
2570,1244,Technology Strategy Board/Innovate UK
2571,1244,Technology Strategy Board/Innovate UK
2572,1245,European Commission
2573,1245,UK Department for Transport
2574,1246,Great Western Railways & Stagecoach
2575,1247,European Commission
2576,1247,Norwegian Research Council
2577,1247,European Parliament
2578,1248,G1-G2: ESPRC
2579,1248,G3: BBSRC
2580,1249,ESRC
2581,1250,Sport England
2582,1251,Esmee Fairbairn
2583,1251,ESRC
2584,1251,RCUK
2585,1252,Innovate UK
2586,1252,Advanced Propulsion Centre
2587,1253,Wellcome
2588,1253,Wellcome
2589,1253,Wellcome
2590,1253,Wellcome
2591,1253,Drugs for Neglected Diseases initiative
2592,1254,Innovate UK
2593,1256,ESRC
2594,1257,Arts Council England
2595,1258,Leverhulme Trust
2596,1258,European Commission
2597,1259,ESRC
2598,1259,European Research Council
2599,1259,Leverhulme Trust
2600,1262,1) Novartis UK
2601,1262,2) Sanofi-Aventis (US)
2602,1262,3) GlaxoSmithKline (UK)
2603,1262,4) AstraZeneca (UK)
2604,1263, International Copper Association
2605,1263,Copper Development Association
2606,1265,Wellcome Trust
2607,1265,National Institute for Health Research (Department of Health)
2608,1267,EPSRC
2609,1267,EPSRC
2610,1267,Innovate UK
2611,1268,EPSRC
2612,1268,Innovate UK
2613,1268,Innovate UK
2614,1269,G1-G2: AHRC
2615,1269,G3: British Council
2616,1270,EPSRC
2617,1270,Department of Defense
2618,1270,General Dynamics Mission Systems 
2619,1270,European Union
2620,1270,Leonardo
2621,1271,GE Aviation
2622,1271,European Union
2623,1271,European Union
2624,1271,European Union
2625,1271,GE Aviation
2626,1271,GE Aviation
2627,1272,EPSRC
2628,1272,The Healthcare Improvement Studies Institute (THIS Institute)
2629,1272,Wellcome
2630,1273,European Commission
2631,1273,European Commission
2632,1273,European Commission
2633,1273,European Commission
2634,1273,Lloyd's Register Foundation
2635,1275,Scottish Funding Council
2636,1275,Innovation Voucher
2637,1278,"Department for Business, Energy and Industrial Strategy"
2638,1279,EU FP7
2639,1279,EU LLP KA3 ICT
2640,1279,EU H2020
2641,1279,EU H2020
2642,1280,ESRC
2643,1280,Torbay and South Devon NHS Foundation Trust
2644,1280,South West Academic Health Services Network (SWAHSN)
2645,1280,University of Exeter
2646,1282,Devon County Council
2647,1282,Arts and Humanities Research Council
2648,1282,European Commission
2649,1282,Economic and Social Research Council
2650,1282,Innovate UK
2651,1284,ESRC
2652,1284,ERC
2653,1284,Klaus J. Jacobs Research Prize
2654,1285,ESRC
2655,1286,ESRC
2656,1286,JOSEPH ROWNTREE FOUNDATION
2657,1287,EPSRC
2658,1288,Arts and Humanities Research Council
2659,1288,Heriot Watt University
2660,1288,Scottish Funding Council - SFC
2661,1288,Carnegie Trust for the Universities of Scotland
2662,1289,Venice Architecture Biennale
2663,1289,Association for the Study of Modern Italy
2664,1289,Space Electronic nightclub
2665,1289,Vitra Design Museum 
2666,1290,Home Office
2667,1290,West Yorkshire Police
2668,1290,CABE
2669,1290,ACPO
2670,1290,Abu Dhabi Urban Planning Council
2671,1291,European Commission
2672,1292,Office for Low Emission Vehicles and the South Eastern England Development Agency
2673,1292,Low Carbon Network Fund
2674,1292,Higher Education Funding Council for England
2675,1293,European Commission
2676,1293, Economic and Social Research Council
2677,1294,AHRC
2678,1294,European Commission
2679,1295,Marie Stopes International
2680,1295,Economic and Social Research Council (ESRC)
2681,1298,1. Trust for London
2682,1298,2. Research England (Strategic Priorities Fund) 
2683,1299,European Commission
2684,1299,Economic and Social Research Council
2685,1299,Wellcome Trust
2686,1300,NERC
2687,1300,ERC
2688,1302,ESRC
2689,1302,Blackpool Council
2690,1303,EU Framework Programme FP6 
2691,1303,EU Framework Programme FP6
2692,1304,G1-G3: NHS Newcastle Gateshead Clinical Commissioning Group
2693,1306,Department for Communities & Local Government
2694,1306,ESRC
2695,1306,"Ministry of Housing, Communities & Local Government (MHCLG)"
2696,1307,British Academy
2697,1307,ESRC (Economic and Social Research Council)
2698,1307,EU - European Union
2699,1307,RCUK (Research Councils UK)
2700,1308,British Academy
2701,1308,The National Lottery Heritage Fund
2702,1308,Manchester City Council
2703,1309,Allioes Procurement Consortia
2704,1309,CARTREFI CONWY CYFYNGEDIG (UK)
2705,1309,Cartefri Conwy Ltd
2706,1309,EQUITY HOUSING GROUP LIMITED (UK)
2707,1309,ESRC
2708,1309,Liverpool Mutual Homes
2709,1309,NHS NW Procurement Development
2710,1312,Bill & Melinda Gates Foundation
2711,1312,MRC
2712,1312,UNITAID
2713,1313,Erasmus
2714,1314,British Heart Foundation
2715,1315,European Commission
2716,1316,European Commission
2717,1318,G3.1) Gatsby Charitable Foundation 
2718,1318,G3.2) Teach First 
2719,1318,G3.3) Gatsby Charitable Foundation
2720,1318,G3.4) Careers and Enterprise Company 
2721,1318,G3.5) Careers and Enterprise Company 
2722,1320,Arts Council England (30184730 and AFE-00073284 and More than a body's work)
2723,1321,NERC
2724,1321,AXA Research Fund
2725,1321,Wellcome Trust
2726,1321,WWF UK
2727,1321,Bertarelli Foundation
2728,1323,Innovate UK
2729,1324,European Union
2730,1325,European Commission
2731,1325,British Academy
2732,1326,1) Education Scotland
2733,1326,2) Scottish Government
2734,1326,3) European Commission
2735,1326,4) Ecorys on behalf of European Commission
2736,1326,5) Aberdeenshire Council
2737,1326,6) Stirling Council
2738,1326,7) Aberdeen City Council
2739,1326,"8) University of Eotvos Lorand, Hungary"
2740,1326,9) European Schoolnet
2741,1327,British Academy/Leverhulme
2742,1327,National Endowment for the Humanities (US)
2743,1327,National Endowment for the Humanities (US)
2744,1329,Engineering and Physical Sciences Research Council
2745,1329,Arts and Humanities Research Council
2746,1331,Innovate UK
2747,1332,Innovate UK
2748,1332,European Commission H2020 MSCA RISE
2749,1333,Department of Health / Health Education England
2750,1333,Collaborations for Leadership in Applied Health Research and Care (CLAHRC) East of England
2751,1334,Creative New Zealand
2752,1334, University of Auckland 
2753,1337,European Commission Research Directorate
2754,1337,NIHR
2755,1337, Barts Charity
2756,1338,Innovate UK
2757,1339,The Esme Fairburn Foundation
2758,1339,UKLA
2759,1339,The Carnegie UK Trust
2760,1339,British Academy
2761,1339,ESRC
2762,1340,European Commission
2763,1340,Hong Kong Academy of Medicine
2764,1340,Handicap International
2765,1341,Engineering and Physical Sciences Research Council
2766,1341,WRAP Cymru
2767,1341,Brother International Europe Ltd
2768,1341,Qioptiq Ltd
2769,1341,DSV Solutions Nederland BV
2770,1342,Cancer Research UK
2771,1342,Guy’s & St Thomas’
2772,1342,MRC
2773,1342,Breast Cancer Now
2774,1342,BBSRC
2775,1342,Wellcome Trust
2776,1342,EPSRC
2777,1342,STFC
2778,1342,Cancer Research UK
2779,1342,Breast Cancer Now
2780,1342,Breast Cancer Now
2781,1342,Cancer Research UK
2782,1342,Cancer Research UK
2783,1342,AstraZeneca
2784,1342,Roche
2785,1343,Medical Research council (MRC)  
2786,1343,EPSRC  
2787,1343,Unilever
2788,1343,European Commission H2020  
2789,1346,Petroleo Brasileiro S.A. - Petrobras
2790,1346,Total E&P Angola
2791,1346,Husky Oil Operations Ltd
2792,1347,Innovate UK
2793,1347,"Northern Ireland Department of Agriculture, Environment and Rural Affairs"
2794,1347,Skea Eggs Ltd
2795,1347,Moy Park Limited
2796,1348,LetterOne
2797,1348, The Wealth Economy
2798,1348, Economic and Social Research Council
2799,1348, Arts and Humanities Research Council
2800,1349,1) Scottish Enterprise
2801,1349,2) Innovate UK
2802,1349,3) Innovate UK
2803,1355,NIH/AHRQ 
2804,1355,Association for the Advancement of Medical Instrumentation 
2805,1355,Association for the Advancement of Medical Instrumentation 
2806,1356,European Commission
2807,1356,European Commission
2808,1357,AHRC
2809,1357, AHRC/REACT
2810,1357, HEIF
2811,1357, AHRC/REACT
2812,1359,Natural Environment Research Council (NERC)
2813,1359,Environment Agency
2814,1360,"Orpheus Institute, Belgium  "
2815,1361,ESRC
2816,1361,ESRC
2817,1362,Carnegie Trust for the Universities of Scotland
2818,1365,Medical Research Council
2819,1365,The Wellcome Trust
2820,1365,NIHR
2821,1366,"Department of Health and Public Health Agency, Research and Development Division"
2822,1366,Northern Ireland Centre for Trauma and Transformation (NICTT) through the Big Lottery Fund.
2823,1366,CVSNI
2824,1366,NICTT
2825,1367,EPSRC
2826,1368,EPSRC
2827,1369,NERC
2828,1369,British Council
2829,1370,Innovate UK
2830,1370,European Social Fund
2831,1370,Marshalls Mono Ltd.
2832,1370,Innovate UK
2833,1370,European Commission
2834,1371,EU Horizon 2020
2835,1372,UofC Arts & Humanities Impact Fund
2836,1372, British Council
2837,1372," Department for Business, Energy and Industrial Strategy"
2838,1372, Cambridge Templeton Consortium
2839,1374,Joseph Roundtree Foundation
2840,1374,Department for Work and Pensions
2841,1374,Medical Research Council
2842,1374,ESRC
2843,1375,
2844,1377,NERC
2845,1378,European and Social Research Council (ESRC) and British Academy (BA)
2846,1378,British Academy (BA)
2847,1379,Bristol Zoological Society
2848,1379,Earthwatch Institute
2849,1379,Leiden Conservation Foundation
2850,1379,Mohamed bin Zayed Species Conservation Fund
2851,1379,Riverbanks Zoo and Garden
2852,1379,Shark Conservation Fund
2853,1379,National Environment Research Council (NERC)
2854,1381,"Armourers and Brasiers, a Guild of the City of London"
2855,1382,European Research Council
2856,1383,MRC
2857,1383,British Heart Foundation
2858,1383,Department of Health
2859,1383,Public Health England
2860,1384,European Commission
2861,1384,EU
2862,1385,European Union
2863,1387,NIHR
2864,1388,NERC
2865,1388,European Commission
2866,1388,EPSRC
2867,1389,NIHR
2868,1389,Health Foundation
2869,1389,Falck Foundation
2870,1391,National Institute for Health Research
2871,1391,Medical Research Council
2872,1391,Economic and Social Research Council
2873,1392,Health Data Research UK
2874,1392,National Institute for Health Research
2875,1394,British Heart Foundation
2876,1394,BSC International Holdings Ltd
2877,1394,Diabetes UK
2878,1394,Heart Research UK
2879,1394,Leeds Teaching Hospitals Charitable Foundation
2880,1394,Medical Research Council
2881,1394,National Institute for Health Research
2882,1395,Muscular Dystrophy UK
2883,1395,Medical Research Council
2884,1395,European Commission
2885,1395,Sarepta Therapeutics
2886,1396,Innovate UK
2887,1397,Wellcome Trust
2888,1397,Engineering and Physical Sciences Research Council
2889,1398,European Commission
2890,1398,Local Enterprise Partnership
2891,1398,Innovate UK
2892,1398,Innovate UK
2893,1399,MRC
2894,1400,Innovate UK
2895,1400,Technology Strategy Board
2896,1401,Economic and Social Research Council (ESRC)
2897,1401,Innovate UK
2898,1402,Bob Champion Cancer Trust
2899,1402,Cancer Research UK
2900,1402,Department of Health
2901,1402,Prostate Cancer UK
2902,1402,Prostate Cancer Research Foundation
2903,1402,Prostate Research Campaign UK
2904,1402,Stand Up To Cancer (part of the Entertainment Industry Foundation)
2905,1402,Medical Research Council
2906,1402,National Institute of Health Research
2907,1403,European commission 
2908,1403,European commission
2909,1403,BBSRC
2910,1403,BBSRC
2911,1403,Welsh Government/European Social Funds
2912,1403,Certis
2913,1404,"Foreign, Commonwealth and Development Office (FCDO)"
2914,1404,National Institute for Health Research (NIHR)
2915,1404,Medical Research Council (MRC)
2916,1404,National Cancer Institute (NCI)
2917,1404,"International Medical University, Malaysia"
2918,1405,EPSRC
2919,1405,European Commission
2920,1407,Horse Race Betting Levy Board
2921,1407,The Horse Trust
2922,1408,1) European Commission
2923,1408,2) Scottish Natural Heritage
2924,1408,3) Dee District Salmon Fishery Board
2925,1408,4) Deep Sea Conservation Coalition
2926,1408,5) Natural Environment Research Council
2927,1408,6) British Council
2928,1408,7) Scottish Government
2929,1408,8) Marine Conservation Biology Institute
2930,1410,NIHR
2931,1410,Medical Research Council
2932,1410,Retina UK
2933,1410,NIHR (Research funding award for achromatopsia)
2934,1410,MRC (Clinical trial of gene therapy for the treatment of Leber congenital amaurosis)
2935,1410,Moorfields Eye Hospital Special Trustees 
2936,1411,Scottish Prison Service
2937,1412,Science and Technology Facilities Council
2938,1413,GlaxoSmithKline
2939,1414,ENGINEERING & PHYSICAL SCIENCES RESEARCH COUNCIL (EPSRC)
2940,1414,FLUORON GMBH (GERMANY)
2941,1415,Kent Cancer Trust
2942,1415,Venomtech Ltd
2943,1416,NIHR
2944,1416,Medical Research Council
2945,1417,EPSRC
2946,1418,EPSRC
2947,1418,Innovate UK
2948,1418,Technology Strategy Board/BBSRC (now InnovateUK)
2949,1418,Technology Strategy Board (now InnovateUK)
2950,1418,EPSRC
2951,1418,Technology Strategy Board (now InnovateUK)
2952,1418,Innovate UK
2953,1419,Johnson Matthey-Davy Technologies
2954,1419,PURAC Biochem BV (now Cobion Purac)
2955,1419,Synetix (now Johnson Matthey)
2956,1420,National Nuclear Laboratory
2957,1420,EPSRC
2958,1420,NERC
2959,1420,European Commission
2960,1422,Johnson Matthey
2961,1423,CRUK
2962,1424,AKL RESEARCH & DEVELOPMENT LTD (UK)
2963,1424,CHILDWICK TRUST
2964,1424,CODEXIS (USA)
2965,1424,EUROPEAN COMMISSION
2966,1424,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST (UK)
2967,1424,THE ALKAPTONURIA SOCIETY (UK)
2968,1424,WELLCOME TRUST (UK)
2969,1425,Medical Research Council
2970,1425,BioMarin Pharmaceutical Inc.
2971,1425,Katherine Dormandy Trust
2972,1427,Scottish Funding Council
2973,1428,Cancer Research UK
2974,1428,NIHR
2975,1428,Wellbeing of Women
2976,1429,EPSRC - Engineering and Physical Sciences Research Council
2977,1431,BBSRC
2978,1431,Clasado
2979,1433,1) Engineering and Physical Sciences Research Council
2980,1433,2) Engineering and Physical Sciences Research Council
2981,1433,3) Engineering and Physical Sciences Research Council
2982,1434,Department for International Development
2983,1434,BBSRC
2984,1435,European Commission - FP7 - European Research Council
2985,1435,EPSRC (Engineering and Physical Sciences Research Council)
2986,1437,EPSRC
2987,1438,Department of Education Northern Ireland
2988,1439,Engineering and Physical Sciences Research Council 
2989,1439,British Broadcasting Corporation
2990,1439,S4C
2991,1439,Action on Hearing Loss
2992,1439,Swansea University
2993,1439,Swansea University
2994,1439,Swansea University
2995,1440,G1: World Bank
2996,1441,Arts and Humanities Research Council (AHRC)
2997,1441,Arts and Humanities Research Council (AHRC)
2998,1441,Arts and Humanities Research Council (AHRC)
2999,1441,ART360
3000,1442,NERC
3001,1442,Innovate UK
3002,1442,EPSRC
3003,1443,InnovateUK
3004,1443,EPSRC
3005,1444,Arts and Humanities Research Council
3006,1446,EC
3007,1446,AHRC
3008,1446,USAID
3009,1446,British Institute at Ankara (BIAA)
3010,1446,Arts Council England
3011,1446,MUPI (Museum-University Partnership Initiative)
3012,1447,AHRC
3013,1447,The National Trust
3014,1447,AHRC
3015,1447,AHRC
3016,1447,AHRC
3017,1447,AHRC
3018,1448,ARTS AND HUMANITIES RESEARCH COUNCIL (AHRC)
3019,1448,CISCO
3020,1448,ECONOMIC AND SOCIAL RESEARCH COUNCIL (ESRC)
3021,1448,Good Things Foundation
3022,1448,THE NUFFIELD FOUNDATION (UK)
3023,1449,Innovate UK
3024,1450,Shell
3025,1450,ADNOC (Abu Dhabi National Oil Company)
3026,1451,British Academy
3027,1452,EPSRC
3028,1452,Dawes Centre for Future Crime at UCL
3029,1454,Newton Fund 
3030,1454,UKIERI 
3031,1456,Arts and Humanities Research Council
3032,1457,Google
3033,1457,Wellcome Trust
3034,1457,British Academy
3035,1457,Society for Educational Studies
3036,1457,South Korean Global Research Fund
3037,1457,Youth Sport Trust
3038,1457,Richard Benjamin Trust
3039,1457,The Football Association
3040,1457,University of Birmingham
3041,1457,Social Science and Humanities Research Council of Canada
3042,1459,Arts and Humanities Research Council
3043,1460,European Union
3044,1461,NIHR
3045,1461,MOTOR NEURONE DISEASE ASSOCIATION
3046,1462,BBSRC - Biotechnology and Biological Sciences Research Council
3047,1462,EPSRC - Engineering and Physical Sciences Research Council
3048,1463,Department for Work and Pensions
3049,1464,Met Office
3050,1464,Natural Environment Research Council
3051,1464,Royal Society
3052,1465,1) Diabetes UK
3053,1465,2) Diabetes UK
3054,1465,3) Diabetes UK
3055,1466,Wellcome Trust 
3056,1467,Arts and Humanities Research Council
3057,1467, Andrew Mellon Foundation
3058,1467, Isaac Newton Trust
3059,1467, Parasol Foundation
3060,1467, Wellcome Trust
3061,1467, British Academy
3062,1467, Subject Centre for Philosophical and Religious Studies
3063,1467, Higher Education Academy
3064,1467, Leverhulme Trust
3065,1468,Natural Environment Research Council
3066,1468,Natural Environment Research Council
3067,1471,BBSRC
3068,1473,EPSRC
3069,1473,EPSRC Fellowship (Established Career)
3070,1473,Royal Society
3071,1473,Royal Society Wolfson Fellowship
3072,1473,Wellcome Trust
3073,1473,Investigator award
3074,1473,EPSRC
3075,1473,Responsive mode
3076,1473,Royal Society/Leverhulme
3077,1473,Trust Senior Research Fellowship
3078,1473,Leverhulme Trust
3079,1473,Leverhulme Trust Research Leadership Award
3080,1473,BBSRC
3081,1473,Responsive
3082,1474,Pfizer Inc USA
3083,1474,Cancer Research UK
3084,1474,Agouron Pfizer
3085,1475,Commonwealth Scholarship Commission
3086,1475,Ministry of Education of Malaysia
3087,1475,BBSRC LIDo
3088,1476,British Academy/Leverhulme Small Research Grants
3089,1477,Broderick Bozimo & Company Law Firm
3090,1478,The Home Office
3091,1478,The Home Office
3092,1479,Scottish Funding Council 
3093,1479,Scottish  Enterprise 
3094,1480,Max Planck Institute for Evolutionary Anthropology
3095,1480,EPSRC - Engineering and Physical Sciences Research Council
3096,1481,European Research Council
3097,1481,Arts and Humanities Research Council
3098,1481,Arts and Humanities Research Council
3099,1481,Arts and Humanities Research Council
3100,1482,G3.1) Science and Technology Facilities Council (STFC) 
3101,1482,G3.2) Innovate UK 
3102,1482,G3.3) Innovate UK 
3103,1482,G3.4) European Regional Development Fund (ERDF) 
3104,1483,G3.1) Gatsby Charitable Foundation 
3105,1483,"G3.2) Department for Education, UK"
3106,1483,G3.3) Gatsby Charitable Foundation 
3107,1483,G3.4) Rothschild Foundation 
3108,1483,G3.5) Education and Training Foundation
3109,1487,Heritage Lottery Fund
3110,1488,ESRC
3111,1488,ESRC
3112,1489,ESRC
3113,1489,BEIS
3114,1489,BEIS
3115,1490,INTERREG NWE
3116,1491,Remuneration Board of the Welsh Parliament
3117,1492,AHRC
3118,1493,EU Cultural Grant
3119,1494,Economic and Social Research Council
3120,1495,ESRC
3121,1495,ESRC
3122,1496,Arts and Humanities Research Council
3123,1496,European Commission Research Executive Agency
3124,1498,British Academy
3125,1498,Higher Education Funding Council for England
3126,1498,British Academy
3127,1498,Home Office UK
3128,1499,Northern Rock Foundation
3129,1499,ESRC
3130,1500,FIFPro
3131,1501,EPSRC
3132,1503,Arts Council England
3133,1503,British Council
3134,1503,EU Funding
3135,1507,European Commission
3136,1508,Diversity Works for London 
3137,1508,London Development Agency
3138,1508,"Department for Business, Energy and Industrial Strategy"
3139,1508,Government Equalities Office 
3140,1508,Royal Society
3141,1509,Department of Health
3142,1509,Department of Health
3143,1509,Department of Health
3144,1509,Department of Health
3145,1509,Department of Health
3146,1509,GAMA Ltd
3147,1510,1) World Health Organisation
3148,1510,2) Wellcome Trust
3149,1510,3) Wellcome Trust
3150,1510,4) Wellcome Trust
3151,1510,5) Wellcome Trust
3152,1511,NERC
3153,1511,BEIS
3154,1511,NERC
3155,1511,European Commission
3156,1511,NERC
3157,1512,Home Office
3158,1512,Economic and Social Research Council
